funcid,dim,milestone,error
9,10,1,3.079505e+02
9,10,2,9.602983e+01
9,10,3,9.538630e+01
9,10,5,9.538630e+01
9,10,10,5.083086e+01
9,10,20,4.958971e+01
9,10,30,4.927998e+01
9,10,40,4.916481e+01
9,10,50,4.906492e+01
9,10,60,4.902399e+01
9,10,70,4.901458e+01
9,10,80,3.033699e+01
9,10,90,2.943547e+01
9,10,100,2.918356e+01
9,10,1,3.049030e+02
9,10,2,3.301835e+01
9,10,3,2.634589e+01
9,10,5,2.495269e+01
9,10,10,2.422617e+01
9,10,20,2.273809e+01
9,10,30,2.233589e+01
9,10,40,2.073781e+01
9,10,50,2.061920e+01
9,10,60,1.832490e+01
9,10,70,8.068260e+00
9,10,80,7.409634e+00
9,10,90,7.405927e+00
9,10,100,7.404645e+00
9,10,1,2.566183e+02
9,10,2,6.421856e+01
9,10,3,6.421856e+01
9,10,5,6.145356e+01
9,10,10,3.956789e+01
9,10,20,3.755875e+01
9,10,30,3.737540e+01
9,10,40,3.732714e+01
9,10,50,2.132062e+01
9,10,60,2.111601e+01
9,10,70,2.109962e+01
9,10,80,2.109962e+01
9,10,90,2.109684e+01
9,10,100,2.109684e+01
9,10,1,2.850113e+02
9,10,2,8.388197e+01
9,10,3,8.388197e+01
9,10,5,6.857572e+01
9,10,10,5.678794e+01
9,10,20,5.633877e+01
9,10,30,5.627695e+01
9,10,40,5.626792e+01
9,10,50,5.625591e+01
9,10,60,5.624918e+01
9,10,70,5.624189e+01
9,10,80,5.624189e+01
9,10,90,5.624039e+01
9,10,100,5.623732e+01
9,10,1,4.802804e+02
9,10,2,1.036544e+02
9,10,3,9.583483e+01
9,10,5,8.356311e+01
9,10,10,8.262780e+01
9,10,20,3.736594e+01
9,10,30,2.158089e+01
9,10,40,1.661501e+01
9,10,50,1.504896e+01
9,10,60,1.497739e+01
9,10,70,7.701145e+00
9,10,80,5.435117e+00
9,10,90,5.339924e+00
9,10,100,5.338018e+00
9,10,1,5.175810e+02
9,10,2,2.083075e+02
9,10,3,2.083075e+02
9,10,5,2.083075e+02
9,10,10,2.083075e+02
9,10,20,1.617154e+02
9,10,30,1.596128e+02
9,10,40,1.411639e+02
9,10,50,1.257584e+02
9,10,60,8.261367e+01
9,10,70,4.957383e+01
9,10,80,3.551875e+01
9,10,90,3.528310e+01
9,10,100,3.526304e+01
9,10,1,4.765548e+02
9,10,2,1.083505e+02
9,10,3,1.067442e+02
9,10,5,1.064679e+02
9,10,10,9.299344e+01
9,10,20,7.264603e+01
9,10,30,3.491167e+01
9,10,40,2.777116e+01
9,10,50,2.119577e+01
9,10,60,1.515812e+01
9,10,70,1.191384e+01
9,10,80,1.161505e+01
9,10,90,6.205226e+00
9,10,100,6.159378e+00
9,10,1,2.412919e+02
9,10,2,5.023711e+01
9,10,3,4.369337e+01
9,10,5,3.903802e+01
9,10,10,1.953365e+01
9,10,20,1.534116e+01
9,10,30,1.216599e+01
9,10,40,1.119647e+01
9,10,50,1.117369e+01
9,10,60,1.117143e+01
9,10,70,1.116901e+01
9,10,80,1.116901e+01
9,10,90,1.116901e+01
9,10,100,1.116901e+01
9,10,1,1.649346e+02
9,10,2,7.829515e+01
9,10,3,6.577363e+01
9,10,5,5.597217e+01
9,10,10,3.757830e+01
9,10,20,3.745742e+01
9,10,30,3.744263e+01
9,10,40,3.743881e+01
9,10,50,3.743609e+01
9,10,60,3.142191e+01
9,10,70,1.851162e+01
9,10,80,1.504285e+01
9,10,90,1.502893e+01
9,10,100,1.502893e+01
9,10,1,2.501041e+02
9,10,2,4.533942e+01
9,10,3,4.533942e+01
9,10,5,4.429777e+01
9,10,10,2.991047e+01
9,10,20,2.845024e+01
9,10,30,2.032729e+01
9,10,40,1.671916e+01
9,10,50,1.522181e+01
9,10,60,1.363731e+01
9,10,70,8.439498e+00
9,10,80,4.482578e+00
9,10,90,2.661817e+00
9,10,100,1.517984e+00
