funcid,dim,milestone,error
2,10,1,1.053788e+09
2,10,2,6.138224e+08
2,10,3,5.505250e+08
2,10,5,5.502813e+08
2,10,10,2.103239e+08
2,10,20,3.414708e+07
2,10,30,1.186849e+07
2,10,40,1.618062e+06
2,10,50,1.236457e+06
2,10,60,3.522510e+05
2,10,70,2.307610e+05
2,10,80,1.449020e+05
2,10,90,9.638900e+04
2,10,100,6.604000e+04
2,10,1,9.535874e+09
2,10,2,6.836095e+09
2,10,3,6.660119e+09
2,10,5,6.591787e+09
2,10,10,9.432126e+06
2,10,20,2.527292e+06
2,10,30,1.668766e+06
2,10,40,4.059660e+05
2,10,50,1.410950e+05
2,10,60,9.653400e+04
2,10,70,7.137200e+04
2,10,80,5.340200e+04
2,10,90,3.131800e+04
2,10,100,2.232600e+04
2,10,1,2.052290e+09
2,10,2,3.191140e+07
2,10,3,3.054809e+07
2,10,5,3.054809e+07
2,10,10,1.161559e+07
2,10,20,7.381862e+06
2,10,30,1.318971e+06
2,10,40,2.791450e+05
2,10,50,7.776900e+04
2,10,60,3.441800e+04
2,10,70,1.959500e+04
2,10,80,1.909100e+04
2,10,90,6.064000e+03
2,10,100,5.194000e+03
2,10,1,3.882515e+09
2,10,2,1.423853e+09
2,10,3,1.065913e+09
2,10,5,9.943743e+08
2,10,10,1.687706e+07
2,10,20,4.579284e+06
2,10,30,2.254989e+06
2,10,40,8.212280e+05
2,10,50,6.352510e+05
2,10,60,3.094300e+05
2,10,70,1.756720e+05
2,10,80,1.143210e+05
2,10,90,8.028400e+04
2,10,100,4.915200e+04
2,10,1,6.254754e+10
2,10,2,4.026340e+10
2,10,3,3.888106e+10
2,10,5,3.806663e+10
2,10,10,6.497663e+09
2,10,20,1.980192e+07
2,10,30,4.308335e+06
2,10,40,2.772060e+06
2,10,50,1.684215e+06
2,10,60,3.750880e+05
2,10,70,1.067910e+05
2,10,80,4.224800e+04
2,10,90,2.699800e+04
2,10,100,1.493600e+04
2,10,1,3.371595e+09
2,10,2,1.380086e+09
2,10,3,1.156321e+09
2,10,5,1.156299e+09
2,10,10,4.050605e+08
2,10,20,6.810909e+06
2,10,30,3.432848e+06
2,10,40,9.988940e+05
2,10,50,4.573840e+05
2,10,60,3.076520e+05
2,10,70,2.131450e+05
2,10,80,1.553680e+05
2,10,90,9.656500e+04
2,10,100,5.760500e+04
2,10,1,5.740947e+09
2,10,2,3.739591e+08
2,10,3,2.967261e+08
2,10,5,2.957587e+08
2,10,10,8.216545e+07
2,10,20,2.363195e+07
2,10,30,6.818552e+06
2,10,40,4.161421e+06
2,10,50,2.076205e+06
2,10,60,1.009202e+06
2,10,70,3.994090e+05
2,10,80,2.008700e+04
2,10,90,1.792000e+04
2,10,100,1.073300e+04
2,10,1,2.120644e+09
2,10,2,2.384131e+08
2,10,3,2.123186e+08
2,10,5,2.105116e+08
2,10,10,3.717946e+07
2,10,20,1.640320e+07
2,10,30,7.874550e+05
2,10,40,3.248280e+05
2,10,50,3.301300e+04
2,10,60,2.500000e+04
2,10,70,1.010800e+04
2,10,80,9.135000e+03
2,10,90,7.278000e+03
2,10,100,6.665000e+03
2,10,1,3.522567e+10
2,10,2,8.453122e+09
2,10,3,8.156376e+09
2,10,5,7.837731e+09
2,10,10,4.520455e+09
2,10,20,1.843193e+08
2,10,30,2.111278e+07
2,10,40,8.843997e+06
2,10,50,4.732296e+06
2,10,60,3.188551e+06
2,10,70,1.204897e+06
2,10,80,3.776150e+05
2,10,90,1.382870e+05
2,10,100,9.029500e+04
2,10,1,8.046420e+10
2,10,2,1.641524e+10
2,10,3,1.499116e+10
2,10,5,1.499008e+10
2,10,10,8.591274e+07
2,10,20,5.478820e+05
2,10,30,2.284860e+05
2,10,40,3.638300e+04
2,10,50,2.356800e+04
2,10,60,1.224000e+04
2,10,70,8.143000e+03
2,10,80,5.595000e+03
2,10,90,5.417000e+03
2,10,100,4.455000e+03
