funcid,dim,milestone,error
25,30,1,1.842478e+03
25,30,2,1.833146e+03
25,30,3,1.041965e+03
25,30,5,8.417575e+02
25,30,10,5.850996e+02
25,30,20,5.050782e+02
25,30,30,4.846841e+02
25,30,40,4.755088e+02
25,30,50,4.660139e+02
25,30,60,4.627744e+02
25,30,70,4.623608e+02
25,30,80,4.613940e+02
25,30,90,4.608145e+02
25,30,100,4.598143e+02
25,30,1,1.179652e+03
25,30,2,1.175615e+03
25,30,3,6.545271e+02
25,30,5,5.796388e+02
25,30,10,4.655335e+02
25,30,20,4.242506e+02
25,30,30,4.159320e+02
25,30,40,4.149399e+02
25,30,50,4.124774e+02
25,30,60,4.121858e+02
25,30,70,4.120467e+02
25,30,80,4.116501e+02
25,30,90,4.111701e+02
25,30,100,4.109679e+02
25,30,1,1.109425e+03
25,30,2,7.364610e+02
25,30,3,7.254968e+02
25,30,5,6.381802e+02
25,30,10,5.394846e+02
25,30,20,4.709151e+02
25,30,30,4.549115e+02
25,30,40,4.521912e+02
25,30,50,4.517418e+02
25,30,60,4.515674e+02
25,30,70,4.515671e+02
25,30,80,4.515671e+02
25,30,90,4.515671e+02
25,30,100,4.515671e+02
25,30,1,2.033721e+03
25,30,2,9.219918e+02
25,30,3,8.537193e+02
25,30,5,7.384053e+02
25,30,10,6.074749e+02
25,30,20,5.339682e+02
25,30,30,5.063605e+02
25,30,40,4.833385e+02
25,30,50,4.695166e+02
25,30,60,4.634290e+02
25,30,70,4.589614e+02
25,30,80,4.572273e+02
25,30,90,4.561266e+02
25,30,100,4.561247e+02
25,30,1,1.142745e+03
25,30,2,1.063200e+03
25,30,3,7.866935e+02
25,30,5,6.894505e+02
25,30,10,5.624220e+02
25,30,20,5.127764e+02
25,30,30,4.988371e+02
25,30,40,4.871543e+02
25,30,50,4.812537e+02
25,30,60,4.788334e+02
25,30,70,4.783459e+02
25,30,80,4.782942e+02
25,30,90,4.777113e+02
25,30,100,4.776905e+02
25,30,1,8.374273e+02
25,30,2,6.321484e+02
25,30,3,6.253737e+02
25,30,5,5.555626e+02
25,30,10,4.969588e+02
25,30,20,4.637372e+02
25,30,30,4.579390e+02
25,30,40,4.552972e+02
25,30,50,4.551220e+02
25,30,60,4.551189e+02
25,30,70,4.549047e+02
25,30,80,4.545251e+02
25,30,90,4.545175e+02
25,30,100,4.545175e+02
25,30,1,9.817370e+02
25,30,2,9.767101e+02
25,30,3,6.805365e+02
25,30,5,6.200138e+02
25,30,10,5.565398e+02
25,30,20,5.246851e+02
25,30,30,4.938085e+02
25,30,40,4.584838e+02
25,30,50,4.451202e+02
25,30,60,4.419391e+02
25,30,70,4.417039e+02
25,30,80,4.404130e+02
25,30,90,4.390577e+02
25,30,100,4.387565e+02
25,30,1,1.136906e+03
25,30,2,7.602183e+02
25,30,3,6.790128e+02
25,30,5,6.062374e+02
25,30,10,5.332922e+02
25,30,20,4.797199e+02
25,30,30,4.594879e+02
25,30,40,4.575673e+02
25,30,50,4.566680e+02
25,30,60,4.566644e+02
25,30,70,4.566629e+02
25,30,80,4.566628e+02
25,30,90,4.558569e+02
25,30,100,4.558522e+02
25,30,1,9.197363e+02
25,30,2,9.150920e+02
25,30,3,6.535751e+02
25,30,5,5.986481e+02
25,30,10,5.154023e+02
25,30,20,4.559196e+02
25,30,30,4.172680e+02
25,30,40,4.045977e+02
25,30,50,4.031586e+02
25,30,60,4.031070e+02
25,30,70,4.029581e+02
25,30,80,4.028158e+02
25,30,90,4.026347e+02
25,30,100,4.025367e+02
25,30,1,9.890309e+02
25,30,2,9.094472e+02
25,30,3,7.812587e+02
25,30,5,6.946746e+02
25,30,10,5.685075e+02
25,30,20,5.139579e+02
25,30,30,5.024415e+02
25,30,40,4.895151e+02
25,30,50,4.732628e+02
25,30,60,4.585344e+02
25,30,70,4.574755e+02
25,30,80,4.553741e+02
25,30,90,4.530454e+02
25,30,100,4.530341e+02
