funcid,dim,milestone,error
5,30,1,2.888089e+02
5,30,2,2.788982e+02
5,30,3,1.904429e+02
5,30,5,1.485503e+02
5,30,10,1.232504e+02
5,30,20,1.223806e+02
5,30,30,1.223806e+02
5,30,40,1.223805e+02
5,30,50,1.223805e+02
5,30,60,1.223805e+02
5,30,70,1.223805e+02
5,30,80,1.223805e+02
5,30,90,1.223805e+02
5,30,100,1.223805e+02
5,30,1,2.216971e+02
5,30,2,1.662573e+02
5,30,3,1.611685e+02
5,30,5,1.392876e+02
5,30,10,1.208828e+02
5,30,20,1.074595e+02
5,30,30,1.074559e+02
5,30,40,1.074559e+02
5,30,50,1.074558e+02
5,30,60,1.074558e+02
5,30,70,1.074558e+02
5,30,80,1.074558e+02
5,30,90,1.074558e+02
5,30,100,1.074558e+02
5,30,1,2.143833e+02
5,30,2,1.543281e+02
5,30,3,1.522251e+02
5,30,5,1.238467e+02
5,30,10,1.046749e+02
5,30,20,1.044713e+02
5,30,30,1.044713e+02
5,30,40,1.044713e+02
5,30,50,1.044712e+02
5,30,60,1.044710e+02
5,30,70,1.044710e+02
5,30,80,1.044710e+02
5,30,90,1.044710e+02
5,30,100,1.044710e+02
5,30,1,2.940356e+02
5,30,2,2.477378e+02
5,30,3,2.214445e+02
5,30,5,1.668001e+02
5,30,10,1.277288e+02
5,30,20,1.233762e+02
5,30,30,1.233753e+02
5,30,40,1.233751e+02
5,30,50,1.233751e+02
5,30,60,1.233751e+02
5,30,70,1.233751e+02
5,30,80,1.233751e+02
5,30,90,1.233751e+02
5,30,100,1.233751e+02
5,30,1,2.088401e+02
5,30,2,1.543243e+02
5,30,3,1.433457e+02
5,30,5,1.165314e+02
5,30,10,8.058674e+01
5,30,20,7.860286e+01
5,30,30,7.860265e+01
5,30,40,7.860252e+01
5,30,50,7.860252e+01
5,30,60,7.860252e+01
5,30,70,7.860252e+01
5,30,80,7.860252e+01
5,30,90,7.860244e+01
5,30,100,7.860244e+01
5,30,1,2.688675e+02
5,30,2,2.688675e+02
5,30,3,2.623997e+02
5,30,5,1.516099e+02
5,30,10,1.144333e+02
5,30,20,1.114371e+02
5,30,30,1.114364e+02
5,30,40,1.114363e+02
5,30,50,1.114363e+02
5,30,60,1.114363e+02
5,30,70,1.114363e+02
5,30,80,1.114363e+02
5,30,90,1.114363e+02
5,30,100,1.114363e+02
5,30,1,2.959748e+02
5,30,2,2.002295e+02
5,30,3,1.818987e+02
5,30,5,1.564656e+02
5,30,10,1.254383e+02
5,30,20,1.243715e+02
5,30,30,1.243706e+02
5,30,40,1.243706e+02
5,30,50,1.243702e+02
5,30,60,1.243702e+02
5,30,70,1.243702e+02
5,30,80,1.243702e+02
5,30,90,1.243702e+02
5,30,100,1.243702e+02
5,30,1,2.669623e+02
5,30,2,2.619698e+02
5,30,3,1.789362e+02
5,30,5,1.334417e+02
5,30,10,8.897219e+01
5,30,20,8.755790e+01
5,30,30,8.755740e+01
5,30,40,8.755720e+01
5,30,50,8.755720e+01
5,30,60,8.755720e+01
5,30,70,8.755720e+01
5,30,80,8.755720e+01
5,30,90,8.755720e+01
5,30,100,8.755720e+01
5,30,1,2.519600e+02
5,30,2,2.014299e+02
5,30,3,1.615459e+02
5,30,5,1.240290e+02
5,30,10,9.001818e+01
5,30,20,8.656432e+01
5,30,30,8.656253e+01
5,30,40,8.656199e+01
5,30,50,8.656199e+01
5,30,60,8.656199e+01
5,30,70,8.656199e+01
5,30,80,8.656197e+01
5,30,90,8.656197e+01
5,30,100,8.656197e+01
5,30,1,2.614733e+02
5,30,2,2.049521e+02
5,30,3,1.943430e+02
5,30,5,1.632861e+02
5,30,10,1.048433e+02
5,30,20,9.949838e+01
5,30,30,9.949708e+01
5,30,40,9.949708e+01
5,30,50,9.949708e+01
5,30,60,9.949708e+01
5,30,70,9.949708e+01
5,30,80,9.949708e+01
5,30,90,9.949708e+01
5,30,100,9.949708e+01
