funcid,dim,milestone,error
29,30,1,1.991872e+03
29,30,2,1.897845e+03
29,30,3,1.851406e+03
29,30,5,1.793632e+03
29,30,10,1.752213e+03
29,30,20,1.712695e+03
29,30,30,1.696398e+03
29,30,40,1.687782e+03
29,30,50,1.682438e+03
29,30,60,1.680478e+03
29,30,70,1.677992e+03
29,30,80,1.674331e+03
29,30,90,1.671650e+03
29,30,100,1.670273e+03
29,30,1,3.778095e+03
29,30,2,3.722934e+03
29,30,3,2.957688e+03
29,30,5,2.901888e+03
29,30,10,2.583214e+03
29,30,20,1.730952e+03
29,30,30,1.608870e+03
29,30,40,1.540132e+03
29,30,50,1.490655e+03
29,30,60,1.468232e+03
29,30,70,1.450273e+03
29,30,80,1.434373e+03
29,30,90,1.423035e+03
29,30,100,1.413584e+03
29,30,1,4.593834e+03
29,30,2,4.351387e+03
29,30,3,3.484388e+03
29,30,5,3.416310e+03
29,30,10,2.639910e+03
29,30,20,2.532034e+03
29,30,30,2.371076e+03
29,30,40,2.275121e+03
29,30,50,2.197774e+03
29,30,60,2.050919e+03
29,30,70,2.017802e+03
29,30,80,1.994579e+03
29,30,90,1.971117e+03
29,30,100,1.962127e+03
29,30,1,3.607650e+03
29,30,2,3.573938e+03
29,30,3,2.863706e+03
29,30,5,2.176471e+03
29,30,10,2.094062e+03
29,30,20,2.054838e+03
29,30,30,2.009843e+03
29,30,40,1.979298e+03
29,30,50,1.961741e+03
29,30,60,1.937625e+03
29,30,70,1.919090e+03
29,30,80,1.904349e+03
29,30,90,1.891225e+03
29,30,100,1.876266e+03
29,30,1,3.874085e+03
29,30,2,3.830729e+03
29,30,3,3.231114e+03
29,30,5,2.805017e+03
29,30,10,2.701700e+03
29,30,20,2.567909e+03
29,30,30,2.523504e+03
29,30,40,2.249453e+03
29,30,50,2.162960e+03
29,30,60,2.130192e+03
29,30,70,2.117841e+03
29,30,80,2.104103e+03
29,30,90,2.087498e+03
29,30,100,2.081529e+03
29,30,1,3.418946e+03
29,30,2,3.266237e+03
29,30,3,2.644029e+03
29,30,5,2.006377e+03
29,30,10,1.896245e+03
29,30,20,1.784927e+03
29,30,30,1.737226e+03
29,30,40,1.675193e+03
29,30,50,1.623920e+03
29,30,60,1.584322e+03
29,30,70,1.537748e+03
29,30,80,1.508221e+03
29,30,90,1.479804e+03
29,30,100,1.461485e+03
29,30,1,2.257107e+03
29,30,2,2.198582e+03
29,30,3,2.188181e+03
29,30,5,2.160266e+03
29,30,10,2.076492e+03
29,30,20,2.004811e+03
29,30,30,1.938050e+03
29,30,40,1.845546e+03
29,30,50,1.810011e+03
29,30,60,1.796698e+03
29,30,70,1.787844e+03
29,30,80,1.782552e+03
29,30,90,1.778882e+03
29,30,100,1.774278e+03
29,30,1,2.812353e+03
29,30,2,2.706308e+03
29,30,3,2.463550e+03
29,30,5,2.300231e+03
29,30,10,2.219717e+03
29,30,20,2.177911e+03
29,30,30,2.152780e+03
29,30,40,2.056329e+03
29,30,50,2.040700e+03
29,30,60,2.017776e+03
29,30,70,1.997804e+03
29,30,80,1.987106e+03
29,30,90,1.937093e+03
29,30,100,1.929722e+03
29,30,1,3.044021e+03
29,30,2,3.025858e+03
29,30,3,2.528020e+03
29,30,5,2.280369e+03
29,30,10,2.233642e+03
29,30,20,2.198782e+03
29,30,30,2.166003e+03
29,30,40,2.125462e+03
29,30,50,2.108737e+03
29,30,60,2.092406e+03
29,30,70,2.078565e+03
29,30,80,2.069273e+03
29,30,90,2.044654e+03
29,30,100,2.030869e+03
29,30,1,3.513872e+03
29,30,2,3.489652e+03
29,30,3,2.866552e+03
29,30,5,2.295724e+03
29,30,10,2.121169e+03
29,30,20,1.895327e+03
29,30,30,1.768829e+03
29,30,40,1.664855e+03
29,30,50,1.612828e+03
29,30,60,1.572489e+03
29,30,70,1.502277e+03
29,30,80,1.467460e+03
29,30,90,1.414163e+03
29,30,100,1.380080e+03
