funcid,dim,milestone,error
11,10,1,1.260856e+03
11,10,2,6.742085e+02
11,10,3,6.122063e+02
11,10,5,1.119922e+02
11,10,10,7.191495e+01
11,10,20,5.749355e+01
11,10,30,5.706468e+01
11,10,40,5.706468e+01
11,10,50,5.706468e+01
11,10,60,5.705954e+01
11,10,70,5.705952e+01
11,10,80,5.703989e+01
11,10,90,5.699570e+01
11,10,100,5.698187e+01
11,10,1,1.016960e+03
11,10,2,5.371308e+02
11,10,3,4.303747e+02
11,10,5,7.285511e+01
11,10,10,6.259523e+01
11,10,20,6.209492e+01
11,10,30,6.206519e+01
11,10,40,6.206285e+01
11,10,50,6.206264e+01
11,10,60,6.205443e+01
11,10,70,6.203735e+01
11,10,80,6.202293e+01
11,10,90,6.202293e+01
11,10,100,6.200176e+01
11,10,1,5.914532e+03
11,10,2,5.914532e+03
11,10,3,5.914532e+03
11,10,5,5.497355e+03
11,10,10,8.226404e+02
11,10,20,1.179026e+02
11,10,30,4.380658e+01
11,10,40,4.320799e+01
11,10,50,4.320799e+01
11,10,60,4.318370e+01
11,10,70,4.317357e+01
11,10,80,4.316657e+01
11,10,90,4.316391e+01
11,10,100,4.315280e+01
11,10,1,7.247658e+03
11,10,2,6.396621e+03
11,10,3,6.390009e+03
11,10,5,5.595130e+03
11,10,10,1.767016e+03
11,10,20,2.617268e+02
11,10,30,1.896372e+02
11,10,40,1.630440e+02
11,10,50,1.480837e+02
11,10,60,1.398594e+02
11,10,70,1.281279e+02
11,10,80,1.160368e+02
11,10,90,1.067236e+02
11,10,100,9.342052e+01
11,10,1,5.664954e+03
11,10,2,5.664954e+03
11,10,3,5.428147e+03
11,10,5,1.544159e+03
11,10,10,2.172411e+02
11,10,20,3.067814e+01
11,10,30,3.043872e+01
11,10,40,3.042335e+01
11,10,50,3.040773e+01
11,10,60,3.039669e+01
11,10,70,3.037614e+01
11,10,80,3.035932e+01
11,10,90,3.034574e+01
11,10,100,3.033769e+01
11,10,1,2.889628e+03
11,10,2,5.680105e+02
11,10,3,5.026541e+02
11,10,5,3.090113e+02
11,10,10,2.195395e+02
11,10,20,1.582151e+02
11,10,30,1.171206e+02
11,10,40,9.140280e+01
11,10,50,7.396200e+01
11,10,60,5.698163e+01
11,10,70,4.740383e+01
11,10,80,4.585239e+01
11,10,90,4.519072e+01
11,10,100,4.484499e+01
11,10,1,1.761838e+03
11,10,2,1.761838e+03
11,10,3,1.418072e+03
11,10,5,1.344231e+03
11,10,10,9.219446e+01
11,10,20,6.815959e+01
11,10,30,6.072584e+01
11,10,40,5.752478e+01
11,10,50,5.642715e+01
11,10,60,5.614888e+01
11,10,70,5.523260e+01
11,10,80,5.510508e+01
11,10,90,5.510508e+01
11,10,100,5.508043e+01
11,10,1,3.853909e+03
11,10,2,3.312987e+03
11,10,3,3.281969e+03
11,10,5,4.331757e+02
11,10,10,2.372279e+02
11,10,20,2.994181e+01
11,10,30,1.336832e+01
11,10,40,1.026754e+01
11,10,50,9.784670e+00
11,10,60,9.694073e+00
11,10,70,9.694073e+00
11,10,80,9.694073e+00
11,10,90,9.694073e+00
11,10,100,9.694073e+00
11,10,1,2.932961e+03
11,10,2,2.932961e+03
11,10,3,2.132807e+03
11,10,5,2.058611e+03
11,10,10,6.424094e+02
11,10,20,7.835009e+01
11,10,30,5.411520e+01
11,10,40,5.395677e+01
11,10,50,5.395409e+01
11,10,60,5.395409e+01
11,10,70,5.395335e+01
11,10,80,5.394724e+01
11,10,90,5.394410e+01
11,10,100,5.394410e+01
11,10,1,4.574299e+03
11,10,2,4.574299e+03
11,10,3,3.581611e+03
11,10,5,3.508502e+02
11,10,10,1.739409e+02
11,10,20,3.301422e+01
11,10,30,1.688586e+01
11,10,40,1.287364e+01
11,10,50,1.200073e+01
11,10,60,1.161798e+01
11,10,70,1.141211e+01
11,10,80,1.141211e+01
11,10,90,1.141211e+01
11,10,100,1.141211e+01
