funcid,dim,milestone,error
15,10,1,3.242382e+04
15,10,2,7.410075e+03
15,10,3,6.865238e+03
15,10,5,6.865238e+03
15,10,10,6.865238e+03
15,10,20,6.683832e+03
15,10,30,6.683832e+03
15,10,40,6.683832e+03
15,10,50,3.655336e+03
15,10,60,3.655336e+03
15,10,70,3.655336e+03
15,10,80,3.655336e+03
15,10,90,3.655336e+03
15,10,100,3.655336e+03
15,10,1,4.372425e+04
15,10,2,2.536358e+04
15,10,3,2.536358e+04
15,10,5,2.536358e+04
15,10,10,1.738966e+04
15,10,20,6.239813e+03
15,10,30,5.164861e+03
15,10,40,4.092031e+03
15,10,50,4.092031e+03
15,10,60,4.092031e+03
15,10,70,4.092031e+03
15,10,80,4.092031e+03
15,10,90,4.092031e+03
15,10,100,4.092031e+03
15,10,1,6.239306e+04
15,10,2,1.803106e+04
15,10,3,1.803106e+04
15,10,5,1.803106e+04
15,10,10,1.803106e+04
15,10,20,1.803106e+04
15,10,30,1.363917e+04
15,10,40,9.651679e+03
15,10,50,9.651679e+03
15,10,60,6.918070e+03
15,10,70,6.918070e+03
15,10,80,6.918070e+03
15,10,90,4.730864e+03
15,10,100,4.632945e+03
15,10,1,3.556270e+05
15,10,2,5.255065e+04
15,10,3,5.255065e+04
15,10,5,5.255065e+04
15,10,10,5.066033e+04
15,10,20,3.006639e+04
15,10,30,9.384620e+03
15,10,40,9.384620e+03
15,10,50,9.384620e+03
15,10,60,9.384620e+03
15,10,70,3.683105e+03
15,10,80,3.683105e+03
15,10,90,3.683105e+03
15,10,100,3.683105e+03
15,10,1,1.583132e+05
15,10,2,5.272445e+04
15,10,3,4.714107e+04
15,10,5,4.711485e+04
15,10,10,1.999234e+04
15,10,20,1.667664e+04
15,10,30,1.667664e+04
15,10,40,1.620857e+04
15,10,50,1.172884e+04
15,10,60,1.172884e+04
15,10,70,9.313934e+03
15,10,80,8.793546e+03
15,10,90,8.793546e+03
15,10,100,8.625255e+03
15,10,1,2.712487e+04
15,10,2,1.906132e+04
15,10,3,1.906132e+04
15,10,5,1.906132e+04
15,10,10,1.500923e+04
15,10,20,1.491504e+04
15,10,30,1.399139e+04
15,10,40,1.189623e+04
15,10,50,1.189623e+04
15,10,60,1.095270e+04
15,10,70,1.095270e+04
15,10,80,1.006980e+04
15,10,90,1.006980e+04
15,10,100,7.602005e+03
15,10,1,7.181951e+04
15,10,2,1.156580e+04
15,10,3,1.156580e+04
15,10,5,1.156580e+04
15,10,10,1.156580e+04
15,10,20,1.156580e+04
15,10,30,3.086402e+03
15,10,40,3.086402e+03
15,10,50,3.086402e+03
15,10,60,3.086402e+03
15,10,70,3.086402e+03
15,10,80,3.086402e+03
15,10,90,2.319081e+03
15,10,100,2.319081e+03
15,10,1,6.871272e+04
15,10,2,5.459297e+04
15,10,3,5.459297e+04
15,10,5,4.179155e+04
15,10,10,3.766760e+04
15,10,20,1.643897e+04
15,10,30,1.624898e+04
15,10,40,1.549919e+04
15,10,50,1.494487e+04
15,10,60,1.244164e+04
15,10,70,1.195242e+04
15,10,80,9.087709e+03
15,10,90,9.087709e+03
15,10,100,8.728790e+03
15,10,1,2.430238e+04
15,10,2,2.430238e+04
15,10,3,2.430238e+04
15,10,5,2.430238e+04
15,10,10,2.430238e+04
15,10,20,9.108695e+03
15,10,30,9.108695e+03
15,10,40,9.108695e+03
15,10,50,9.108695e+03
15,10,60,9.108695e+03
15,10,70,8.516311e+03
15,10,80,5.534309e+03
15,10,90,4.709508e+03
15,10,100,4.709508e+03
15,10,1,3.002535e+04
15,10,2,1.789460e+04
15,10,3,1.632847e+04
15,10,5,1.632847e+04
15,10,10,6.504413e+03
15,10,20,6.504413e+03
15,10,30,6.504413e+03
15,10,40,6.504413e+03
15,10,50,6.504413e+03
15,10,60,6.504413e+03
15,10,70,6.504413e+03
15,10,80,5.572607e+03
15,10,90,5.572607e+03
15,10,100,5.572607e+03
