funcid,dim,milestone,error
18,30,1,2.289167e+07
18,30,2,1.716005e+07
18,30,3,1.398750e+07
18,30,5,4.475931e+06
18,30,10,1.349113e+06
18,30,20,9.098497e+05
18,30,30,7.180155e+05
18,30,40,5.972964e+05
18,30,50,4.969793e+05
18,30,60,3.970204e+05
18,30,70,3.123689e+05
18,30,80,2.800642e+05
18,30,90,2.584027e+05
18,30,100,2.118539e+05
18,30,1,7.550844e+07
18,30,2,3.070032e+07
18,30,3,2.615710e+07
18,30,5,1.910487e+07
18,30,10,9.685972e+06
18,30,20,5.878746e+05
18,30,30,1.802558e+05
18,30,40,1.588683e+05
18,30,50,1.536679e+05
18,30,60,1.536679e+05
18,30,70,1.434144e+05
18,30,80,1.434144e+05
18,30,90,1.434144e+05
18,30,100,1.390275e+05
18,30,1,8.418248e+05
18,30,2,7.283130e+05
18,30,3,5.756543e+05
18,30,5,4.383995e+05
18,30,10,2.978277e+05
18,30,20,2.871464e+05
18,30,30,2.641383e+05
18,30,40,2.601316e+05
18,30,50,2.426852e+05
18,30,60,2.278127e+05
18,30,70,2.228193e+05
18,30,80,1.942575e+05
18,30,90,1.786036e+05
18,30,100,1.755221e+05
18,30,1,4.540678e+06
18,30,2,4.347956e+06
18,30,3,4.101456e+06
18,30,5,3.934542e+06
18,30,10,3.386091e+06
18,30,20,2.673257e+06
18,30,30,1.999601e+06
18,30,40,1.644777e+06
18,30,50,1.243477e+06
18,30,60,9.387468e+05
18,30,70,7.241844e+05
18,30,80,5.678528e+05
18,30,90,5.116200e+05
18,30,100,4.203796e+05
18,30,1,4.913234e+05
18,30,2,4.581167e+05
18,30,3,4.266800e+05
18,30,5,3.774639e+05
18,30,10,3.692951e+05
18,30,20,2.827760e+05
18,30,30,2.463657e+05
18,30,40,1.944901e+05
18,30,50,1.944901e+05
18,30,60,1.730230e+05
18,30,70,1.060697e+05
18,30,80,1.060697e+05
18,30,90,1.060697e+05
18,30,100,1.060697e+05
18,30,1,7.561006e+06
18,30,2,5.193836e+06
18,30,3,3.599264e+06
18,30,5,2.069267e+06
18,30,10,4.764257e+05
18,30,20,2.819001e+05
18,30,30,1.122717e+05
18,30,40,8.727432e+04
18,30,50,7.355521e+04
18,30,60,6.428340e+04
18,30,70,5.510721e+04
18,30,80,5.319588e+04
18,30,90,5.319588e+04
18,30,100,5.319588e+04
18,30,1,2.855135e+06
18,30,2,2.352971e+06
18,30,3,1.328372e+06
18,30,5,8.541812e+05
18,30,10,5.184381e+05
18,30,20,3.995715e+05
18,30,30,2.810656e+05
18,30,40,2.650632e+05
18,30,50,2.125577e+05
18,30,60,1.742446e+05
18,30,70,1.438044e+05
18,30,80,1.365517e+05
18,30,90,9.986527e+04
18,30,100,9.536117e+04
18,30,1,8.507064e+06
18,30,2,6.498996e+06
18,30,3,5.313140e+06
18,30,5,1.560064e+06
18,30,10,5.152943e+05
18,30,20,2.186763e+05
18,30,30,1.927063e+05
18,30,40,1.570783e+05
18,30,50,1.479734e+05
18,30,60,1.456329e+05
18,30,70,1.347135e+05
18,30,80,1.298575e+05
18,30,90,1.298575e+05
18,30,100,1.216615e+05
18,30,1,1.302711e+07
18,30,2,1.037591e+07
18,30,3,8.282674e+06
18,30,5,6.217327e+06
18,30,10,1.387324e+06
18,30,20,2.910982e+05
18,30,30,1.633493e+05
18,30,40,1.237233e+05
18,30,50,9.879867e+04
18,30,60,9.313681e+04
18,30,70,9.313612e+04
18,30,80,9.313612e+04
18,30,90,9.313612e+04
18,30,100,9.313612e+04
18,30,1,1.904295e+06
18,30,2,1.904295e+06
18,30,3,1.904295e+06
18,30,5,1.581736e+06
18,30,10,9.679151e+05
18,30,20,6.155579e+05
18,30,30,5.803479e+05
18,30,40,5.306314e+05
18,30,50,4.201040e+05
18,30,60,3.728662e+05
18,30,70,3.525526e+05
18,30,80,3.010472e+05
18,30,90,2.985211e+05
18,30,100,2.750964e+05
