funcid,dim,milestone,error
7,10,1,1.093271e+02
7,10,2,5.692018e+01
7,10,3,5.115215e+01
7,10,5,1.857825e+01
7,10,10,1.521005e+01
7,10,20,1.482528e+01
7,10,30,1.482528e+01
7,10,40,1.482528e+01
7,10,50,1.482528e+01
7,10,60,1.482528e+01
7,10,70,1.482528e+01
7,10,80,1.482396e+01
7,10,90,1.482396e+01
7,10,100,1.482396e+01
7,10,1,8.121311e+01
7,10,2,5.912060e+01
7,10,3,5.912060e+01
7,10,5,5.912060e+01
7,10,10,1.773846e+01
7,10,20,1.694798e+01
7,10,30,1.694798e+01
7,10,40,1.693325e+01
7,10,50,1.693325e+01
7,10,60,1.693325e+01
7,10,70,1.693325e+01
7,10,80,1.693325e+01
7,10,90,1.693325e+01
7,10,100,1.693325e+01
7,10,1,9.216843e+01
7,10,2,6.450246e+01
7,10,3,4.313068e+01
7,10,5,1.754193e+01
7,10,10,1.707937e+01
7,10,20,1.698749e+01
7,10,30,1.698749e+01
7,10,40,1.698749e+01
7,10,50,1.697104e+01
7,10,60,1.697104e+01
7,10,70,1.697104e+01
7,10,80,1.697104e+01
7,10,90,1.697104e+01
7,10,100,1.697104e+01
7,10,1,1.045666e+02
7,10,2,6.971454e+01
7,10,3,5.728708e+01
7,10,5,3.733518e+01
7,10,10,2.733134e+01
7,10,20,2.720234e+01
7,10,30,2.720234e+01
7,10,40,2.720234e+01
7,10,50,2.714251e+01
7,10,60,2.714251e+01
7,10,70,2.714251e+01
7,10,80,2.714251e+01
7,10,90,2.714180e+01
7,10,100,2.714180e+01
7,10,1,8.241741e+01
7,10,2,5.243988e+01
7,10,3,5.243988e+01
7,10,5,2.450870e+01
7,10,10,2.142749e+01
7,10,20,2.142749e+01
7,10,30,2.140969e+01
7,10,40,2.140969e+01
7,10,50,2.140969e+01
7,10,60,2.140969e+01
7,10,70,2.140969e+01
7,10,80,2.140969e+01
7,10,90,2.135058e+01
7,10,100,2.125789e+01
7,10,1,9.019626e+01
7,10,2,5.727874e+01
7,10,3,4.374433e+01
7,10,5,1.946085e+01
7,10,10,1.783657e+01
7,10,20,1.746605e+01
7,10,30,1.745290e+01
7,10,40,1.745290e+01
7,10,50,1.745290e+01
7,10,60,1.743817e+01
7,10,70,1.743817e+01
7,10,80,1.743817e+01
7,10,90,1.743817e+01
7,10,100,1.743817e+01
7,10,1,9.277966e+01
7,10,2,3.899961e+01
7,10,3,3.704872e+01
7,10,5,1.648020e+01
7,10,10,1.591427e+01
7,10,20,1.344644e+01
7,10,30,1.344644e+01
7,10,40,1.344644e+01
7,10,50,1.344644e+01
7,10,60,1.344416e+01
7,10,70,1.342924e+01
7,10,80,1.342924e+01
7,10,90,1.342924e+01
7,10,100,1.342451e+01
7,10,1,1.121124e+02
7,10,2,6.031353e+01
7,10,3,6.031353e+01
7,10,5,3.798392e+01
7,10,10,1.843916e+01
7,10,20,1.832409e+01
7,10,30,1.832409e+01
7,10,40,1.832409e+01
7,10,50,1.832409e+01
7,10,60,1.832409e+01
7,10,70,1.832409e+01
7,10,80,1.832409e+01
7,10,90,1.832409e+01
7,10,100,1.832409e+01
7,10,1,9.559236e+01
7,10,2,3.850552e+01
7,10,3,2.570422e+01
7,10,5,1.568823e+01
7,10,10,1.422975e+01
7,10,20,1.422932e+01
7,10,30,1.418805e+01
7,10,40,1.417511e+01
7,10,50,1.417511e+01
7,10,60,1.417511e+01
7,10,70,1.417511e+01
7,10,80,1.417511e+01
7,10,90,1.417511e+01
7,10,100,1.417511e+01
7,10,1,1.016054e+02
7,10,2,5.503871e+01
7,10,3,3.419092e+01
7,10,5,1.666905e+01
7,10,10,1.615805e+01
7,10,20,1.602858e+01
7,10,30,1.602858e+01
7,10,40,1.602858e+01
7,10,50,1.602858e+01
7,10,60,1.601709e+01
7,10,70,1.601709e+01
7,10,80,1.601709e+01
7,10,90,1.601709e+01
7,10,100,1.601709e+01
