funcid,dim,milestone,error
30,10,1,6.161969e+07
30,10,2,5.632903e+07
30,10,3,5.477103e+07
30,10,5,2.723584e+07
30,10,10,7.316149e+06
30,10,20,8.161662e+04
30,10,30,6.938561e+04
30,10,40,5.006183e+04
30,10,50,4.979520e+04
30,10,60,4.364694e+04
30,10,70,3.591858e+04
30,10,80,3.265261e+04
30,10,90,2.914834e+04
30,10,100,2.914834e+04
30,10,1,1.955047e+07
30,10,2,1.925859e+07
30,10,3,1.642027e+07
30,10,5,5.703146e+06
30,10,10,4.928651e+06
30,10,20,4.236691e+06
30,10,30,3.723862e+06
30,10,40,3.723862e+06
30,10,50,3.682697e+06
30,10,60,3.682697e+06
30,10,70,3.450828e+06
30,10,80,3.270072e+06
30,10,90,3.270072e+06
30,10,100,2.365246e+06
30,10,1,7.602525e+06
30,10,2,5.432124e+06
30,10,3,5.432124e+06
30,10,5,1.430276e+06
30,10,10,1.005977e+06
30,10,20,3.298369e+05
30,10,30,1.729890e+05
30,10,40,1.065822e+05
30,10,50,7.719110e+04
30,10,60,5.683996e+04
30,10,70,5.018889e+04
30,10,80,4.505198e+04
30,10,90,4.218610e+04
30,10,100,4.198440e+04
30,10,1,2.852878e+07
30,10,2,2.852878e+07
30,10,3,2.852878e+07
30,10,5,2.852878e+07
30,10,10,6.358072e+06
30,10,20,9.746388e+05
30,10,30,9.444976e+05
30,10,40,8.443749e+05
30,10,50,8.005095e+05
30,10,60,3.089666e+05
30,10,70,1.886727e+05
30,10,80,1.432477e+05
30,10,90,1.196641e+05
30,10,100,1.119144e+05
30,10,1,6.310629e+06
30,10,2,6.310629e+06
30,10,3,6.310629e+06
30,10,5,4.295924e+06
30,10,10,4.293389e+06
30,10,20,4.030130e+06
30,10,30,3.039418e+06
30,10,40,3.039418e+06
30,10,50,2.969764e+06
30,10,60,2.969764e+06
30,10,70,2.487156e+06
30,10,80,8.978615e+05
30,10,90,8.978615e+05
30,10,100,9.161641e+04
30,10,1,1.095614e+07
30,10,2,1.095614e+07
30,10,3,1.095614e+07
30,10,5,6.259910e+06
30,10,10,4.853987e+06
30,10,20,4.186716e+06
30,10,30,2.441106e+06
30,10,40,2.441106e+06
30,10,50,2.441106e+06
30,10,60,2.441106e+06
30,10,70,2.441106e+06
30,10,80,2.441106e+06
30,10,90,2.441106e+06
30,10,100,1.813793e+06
30,10,1,1.157499e+07
30,10,2,1.157499e+07
30,10,3,1.157499e+07
30,10,5,7.599500e+06
30,10,10,6.506506e+06
30,10,20,5.850234e+06
30,10,30,5.479351e+06
30,10,40,4.355079e+06
30,10,50,2.600232e+06
30,10,60,2.102935e+06
30,10,70,2.102935e+06
30,10,80,2.102935e+06
30,10,90,2.102935e+06
30,10,100,2.102935e+06
30,10,1,7.651542e+06
30,10,2,4.628766e+06
30,10,3,3.524703e+06
30,10,5,8.484848e+05
30,10,10,6.639903e+05
30,10,20,2.774524e+05
30,10,30,1.962371e+05
30,10,40,1.614008e+05
30,10,50,1.289892e+05
30,10,60,1.088930e+05
30,10,70,1.055853e+05
30,10,80,9.417788e+04
30,10,90,8.581447e+04
30,10,100,7.800516e+04
30,10,1,1.669586e+07
30,10,2,1.669586e+07
30,10,3,1.669586e+07
30,10,5,1.669586e+07
30,10,10,1.605876e+07
30,10,20,5.918654e+06
30,10,30,4.533404e+06
30,10,40,9.292573e+05
30,10,50,2.567646e+05
30,10,60,1.926722e+05
30,10,70,1.768125e+05
30,10,80,1.419576e+05
30,10,90,1.198767e+05
30,10,100,1.041413e+05
30,10,1,1.275218e+07
30,10,2,1.275218e+07
30,10,3,1.275218e+07
30,10,5,1.275218e+07
30,10,10,9.311356e+06
30,10,20,5.263749e+06
30,10,30,5.263749e+06
30,10,40,5.263749e+06
30,10,50,3.812085e+06
30,10,60,3.812085e+06
30,10,70,3.812085e+06
30,10,80,3.114942e+06
30,10,90,3.114942e+06
30,10,100,3.114942e+06
