funcid,dim,milestone,error
2,10,1,9.969963e+08
2,10,2,1.906047e+08
2,10,3,1.743799e+08
2,10,5,1.700185e+08
2,10,10,4.287062e+07
2,10,20,9.459184e+06
2,10,30,3.326310e+06
2,10,40,7.548390e+05
2,10,50,3.432690e+05
2,10,60,1.538400e+05
2,10,70,1.285400e+04
2,10,80,6.978000e+03
2,10,90,5.751000e+03
2,10,100,5.010000e+03
2,10,1,1.501374e+10
2,10,2,5.800806e+09
2,10,3,1.826541e+09
2,10,5,9.129714e+08
2,10,10,1.654741e+08
2,10,20,1.012213e+07
2,10,30,1.842864e+06
2,10,40,5.675950e+05
2,10,50,2.051490e+05
2,10,60,1.080540e+05
2,10,70,6.778300e+04
2,10,80,1.434600e+04
2,10,90,9.042000e+03
2,10,100,7.495000e+03
2,10,1,1.872975e+10
2,10,2,1.075686e+10
2,10,3,7.049780e+09
2,10,5,8.937302e+08
2,10,10,7.531098e+07
2,10,20,1.758419e+07
2,10,30,2.612588e+06
2,10,40,5.439670e+05
2,10,50,9.180900e+04
2,10,60,3.771600e+04
2,10,70,1.576000e+04
2,10,80,1.441500e+04
2,10,90,1.053000e+04
2,10,100,8.633000e+03
2,10,1,6.817254e+09
2,10,2,3.075989e+09
2,10,3,3.070363e+09
2,10,5,2.093360e+09
2,10,10,2.125601e+07
2,10,20,2.015997e+06
2,10,30,5.160810e+05
2,10,40,2.945120e+05
2,10,50,1.618740e+05
2,10,60,9.957500e+04
2,10,70,4.898000e+04
2,10,80,8.439000e+03
2,10,90,4.704000e+03
2,10,100,2.931000e+03
2,10,1,2.686084e+09
2,10,2,5.618530e+07
2,10,3,5.618530e+07
2,10,5,5.618530e+07
2,10,10,9.830724e+06
2,10,20,4.881346e+06
2,10,30,1.006971e+06
2,10,40,3.305750e+05
2,10,50,6.170100e+04
2,10,60,1.760600e+04
2,10,70,1.477200e+04
2,10,80,1.265700e+04
2,10,90,1.029500e+04
2,10,100,7.904000e+03
2,10,1,2.054705e+09
2,10,2,9.162732e+07
2,10,3,9.162732e+07
2,10,5,7.769012e+07
2,10,10,3.951467e+07
2,10,20,1.255172e+07
2,10,30,4.310961e+06
2,10,40,6.878200e+05
2,10,50,1.520670e+05
2,10,60,1.284300e+05
2,10,70,5.203400e+04
2,10,80,3.556800e+04
2,10,90,2.155400e+04
2,10,100,1.465100e+04
2,10,1,5.962360e+09
2,10,2,1.806386e+09
2,10,3,1.481795e+09
2,10,5,1.275397e+09
2,10,10,1.581147e+08
2,10,20,6.819951e+06
2,10,30,8.587800e+05
2,10,40,3.174360e+05
2,10,50,1.740490e+05
2,10,60,9.276400e+04
2,10,70,2.875800e+04
2,10,80,1.451600e+04
2,10,90,9.378000e+03
2,10,100,3.649000e+03
2,10,1,4.326518e+10
2,10,2,2.543076e+10
2,10,3,1.077210e+10
2,10,5,2.025514e+09
2,10,10,2.129031e+08
2,10,20,1.352346e+07
2,10,30,3.232282e+06
2,10,40,2.004870e+05
2,10,50,5.383700e+04
2,10,60,2.067700e+04
2,10,70,8.898000e+03
2,10,80,5.211000e+03
2,10,90,4.521000e+03
2,10,100,4.455000e+03
2,10,1,6.922743e+10
2,10,2,1.967935e+10
2,10,3,1.428046e+10
2,10,5,3.829618e+09
2,10,10,6.201303e+08
2,10,20,2.255069e+06
2,10,30,4.160240e+05
2,10,40,1.891620e+05
2,10,50,7.976600e+04
2,10,60,1.009600e+04
2,10,70,1.009600e+04
2,10,80,8.762000e+03
2,10,90,6.720000e+03
2,10,100,4.835000e+03
2,10,1,1.121405e+10
2,10,2,6.672845e+08
2,10,3,5.396099e+08
2,10,5,5.370432e+08
2,10,10,4.410768e+06
2,10,20,8.266550e+05
2,10,30,3.216180e+05
2,10,40,4.533300e+04
2,10,50,3.392000e+04
2,10,60,1.639900e+04
2,10,70,7.062000e+03
2,10,80,5.514000e+03
2,10,90,5.266000e+03
2,10,100,3.293000e+03
