funcid,dim,milestone,error
1,10,1,2.840151e+09
1,10,2,1.352961e+09
1,10,3,1.242120e+09
1,10,5,1.220022e+09
1,10,10,1.303312e+08
1,10,20,4.982851e+03
1,10,30,3.282404e+02
1,10,40,1.524132e+02
1,10,50,5.741754e+01
1,10,60,5.741754e+01
1,10,70,5.741754e+01
1,10,80,3.737148e+01
1,10,90,3.737148e+01
1,10,100,3.737148e+01
1,10,1,1.778723e+09
1,10,2,6.871624e+08
1,10,3,6.136618e+08
1,10,5,6.049216e+08
1,10,10,1.851019e+07
1,10,20,3.653073e+02
1,10,30,1.721609e+02
1,10,40,1.721609e+02
1,10,50,7.176253e+01
1,10,60,7.176253e+01
1,10,70,4.878250e+01
1,10,80,4.878250e+01
1,10,90,4.878250e+01
1,10,100,4.878250e+01
1,10,1,1.076801e+09
1,10,2,9.011457e+07
1,10,3,7.084554e+07
1,10,5,6.105038e+06
1,10,10,8.670485e+04
1,10,20,4.464055e+02
1,10,30,3.561246e+02
1,10,40,3.561246e+02
1,10,50,3.561246e+02
1,10,60,3.561246e+02
1,10,70,3.561246e+02
1,10,80,3.561246e+02
1,10,90,3.561246e+02
1,10,100,3.561246e+02
1,10,1,1.450599e+09
1,10,2,1.928047e+08
1,10,3,1.526005e+08
1,10,5,1.474128e+08
1,10,10,5.942747e+05
1,10,20,4.238228e+03
1,10,30,2.942014e+03
1,10,40,2.924707e+03
1,10,50,2.924707e+03
1,10,60,2.918786e+03
1,10,70,2.918786e+03
1,10,80,2.918786e+03
1,10,90,2.904759e+03
1,10,100,2.904759e+03
1,10,1,1.135146e+09
1,10,2,2.187611e+08
1,10,3,1.880528e+08
1,10,5,1.853180e+08
1,10,10,1.420736e+06
1,10,20,3.649609e+02
1,10,30,1.065798e+02
1,10,40,1.065798e+02
1,10,50,1.065798e+02
1,10,60,8.660465e+01
1,10,70,8.660465e+01
1,10,80,8.660465e+01
1,10,90,8.660465e+01
1,10,100,8.660465e+01
1,10,1,3.966660e+09
1,10,2,3.102811e+09
1,10,3,2.977546e+09
1,10,5,2.966036e+09
1,10,10,8.151710e+06
1,10,20,1.077329e+04
1,10,30,1.403258e+02
1,10,40,1.018399e+02
1,10,50,5.456276e+01
1,10,60,2.716853e+01
1,10,70,2.716853e+01
1,10,80,2.716853e+01
1,10,90,2.716853e+01
1,10,100,2.716853e+01
1,10,1,2.689142e+09
1,10,2,1.093319e+09
1,10,3,1.029727e+09
1,10,5,1.022323e+09
1,10,10,1.126330e+08
1,10,20,1.298300e+03
1,10,30,4.391946e+02
1,10,40,1.352176e+02
1,10,50,1.352176e+02
1,10,60,1.327722e+02
1,10,70,1.327722e+02
1,10,80,8.452658e+01
1,10,90,8.452658e+01
1,10,100,8.452658e+01
1,10,1,2.980931e+09
1,10,2,1.664233e+09
1,10,3,1.583276e+09
1,10,5,1.565809e+09
1,10,10,2.564011e+08
1,10,20,8.408778e+04
1,10,30,2.393432e+03
1,10,40,2.087671e+03
1,10,50,2.054041e+03
1,10,60,2.005155e+03
1,10,70,1.992384e+03
1,10,80,1.992384e+03
1,10,90,1.992384e+03
1,10,100,1.987886e+03
1,10,1,1.651752e+09
1,10,2,3.277987e+08
1,10,3,3.027307e+08
1,10,5,2.975582e+08
1,10,10,1.077017e+07
1,10,20,9.576736e+02
1,10,30,9.459444e+02
1,10,40,9.459444e+02
1,10,50,8.931770e+02
1,10,60,8.931770e+02
1,10,70,7.609040e+02
1,10,80,7.609040e+02
1,10,90,7.605563e+02
1,10,100,7.605563e+02
1,10,1,2.652085e+09
1,10,2,1.317496e+09
1,10,3,1.206658e+09
1,10,5,1.191099e+09
1,10,10,5.481527e+07
1,10,20,1.610020e+03
1,10,30,1.003631e+03
1,10,40,8.183996e+02
1,10,50,8.183996e+02
1,10,60,7.792338e+02
1,10,70,7.753160e+02
1,10,80,7.753160e+02
1,10,90,7.499185e+02
1,10,100,7.499185e+02
