funcid,dim,milestone,error
6,10,1,2.112503e+01
6,10,2,1.535876e+01
6,10,3,1.305126e+01
6,10,5,1.073963e+01
6,10,10,1.056669e+01
6,10,20,1.054319e+01
6,10,30,1.054235e+01
6,10,40,9.214099e+00
6,10,50,5.205098e+00
6,10,60,5.109841e+00
6,10,70,5.109841e+00
6,10,80,4.885167e+00
6,10,90,4.877759e+00
6,10,100,4.602896e+00
6,10,1,3.230079e+01
6,10,2,2.188349e+01
6,10,3,1.942858e+01
6,10,5,1.936637e+01
6,10,10,1.578484e+01
6,10,20,1.474175e+01
6,10,30,1.430957e+01
6,10,40,1.399030e+01
6,10,50,1.383160e+01
6,10,60,1.383160e+01
6,10,70,1.383160e+01
6,10,80,1.383160e+01
6,10,90,1.378101e+01
6,10,100,1.378101e+01
6,10,1,4.504437e+01
6,10,2,2.492139e+01
6,10,3,2.114864e+01
6,10,5,2.102632e+01
6,10,10,2.044964e+01
6,10,20,2.026358e+01
6,10,30,2.006149e+01
6,10,40,1.979132e+01
6,10,50,1.977033e+01
6,10,60,1.977033e+01
6,10,70,1.977033e+01
6,10,80,1.977033e+01
6,10,90,1.976390e+01
6,10,100,1.976390e+01
6,10,1,2.392237e+01
6,10,2,9.782429e+00
6,10,3,8.991113e+00
6,10,5,7.892327e+00
6,10,10,7.328329e+00
6,10,20,6.667560e+00
6,10,30,6.619619e+00
6,10,40,6.619619e+00
6,10,50,5.771521e+00
6,10,60,4.911412e+00
6,10,70,4.461776e+00
6,10,80,4.344253e+00
6,10,90,4.140372e+00
6,10,100,4.125255e+00
6,10,1,2.558663e+01
6,10,2,1.157256e+01
6,10,3,1.142687e+01
6,10,5,1.003425e+01
6,10,10,8.469299e+00
6,10,20,6.801115e+00
6,10,30,6.788810e+00
6,10,40,6.769682e+00
6,10,50,6.768099e+00
6,10,60,6.768099e+00
6,10,70,6.768099e+00
6,10,80,6.768099e+00
6,10,90,6.741421e+00
6,10,100,6.685015e+00
6,10,1,4.260548e+01
6,10,2,2.327859e+01
6,10,3,2.063311e+01
6,10,5,1.888498e+01
6,10,10,1.871715e+01
6,10,20,1.855135e+01
6,10,30,1.854833e+01
6,10,40,1.854282e+01
6,10,50,1.854066e+01
6,10,60,1.853750e+01
6,10,70,1.853506e+01
6,10,80,1.852985e+01
6,10,90,1.849313e+01
6,10,100,1.837650e+01
6,10,1,1.818607e+01
6,10,2,7.746415e+00
6,10,3,5.684811e+00
6,10,5,5.114408e+00
6,10,10,4.887796e+00
6,10,20,4.671128e+00
6,10,30,4.657757e+00
6,10,40,4.657757e+00
6,10,50,4.657757e+00
6,10,60,4.657757e+00
6,10,70,3.527261e+00
6,10,80,3.129085e+00
6,10,90,3.063189e+00
6,10,100,3.053689e+00
6,10,1,3.636991e+01
6,10,2,2.109784e+01
6,10,3,1.847272e+01
6,10,5,1.681797e+01
6,10,10,1.669287e+01
6,10,20,1.668339e+01
6,10,30,1.668011e+01
6,10,40,1.667728e+01
6,10,50,1.667615e+01
6,10,60,1.667615e+01
6,10,70,1.667121e+01
6,10,80,1.666548e+01
6,10,90,1.666161e+01
6,10,100,1.665972e+01
6,10,1,2.686825e+01
6,10,2,1.438630e+01
6,10,3,1.152806e+01
6,10,5,9.697213e+00
6,10,10,9.549794e+00
6,10,20,9.466259e+00
6,10,30,9.451180e+00
6,10,40,9.451180e+00
6,10,50,9.447760e+00
6,10,60,9.447760e+00
6,10,70,9.447760e+00
6,10,80,9.433737e+00
6,10,90,9.430539e+00
6,10,100,9.430539e+00
6,10,1,3.026412e+01
6,10,2,1.101005e+01
6,10,3,9.913726e+00
6,10,5,9.248537e+00
6,10,10,7.931262e+00
6,10,20,7.825613e+00
6,10,30,7.793580e+00
6,10,40,7.777805e+00
6,10,50,7.750183e+00
6,10,60,7.743898e+00
6,10,70,7.717662e+00
6,10,80,7.715167e+00
6,10,90,7.715167e+00
6,10,100,7.711167e+00
