funcid,dim,milestone,error
22,10,1,4.228105e+02
22,10,2,2.720308e+02
22,10,3,2.600458e+02
22,10,5,2.593349e+02
22,10,10,1.252038e+02
22,10,20,1.176840e+02
22,10,30,1.176840e+02
22,10,40,1.176659e+02
22,10,50,1.176659e+02
22,10,60,1.176659e+02
22,10,70,1.176659e+02
22,10,80,1.176659e+02
22,10,90,1.146906e+02
22,10,100,1.141879e+02
22,10,1,4.291273e+02
22,10,2,2.816853e+02
22,10,3,2.667547e+02
22,10,5,2.650676e+02
22,10,10,1.395457e+02
22,10,20,1.354120e+02
22,10,30,1.299719e+02
22,10,40,1.241185e+02
22,10,50,1.241122e+02
22,10,60,1.241122e+02
22,10,70,1.163458e+02
22,10,80,1.155864e+02
22,10,90,1.149171e+02
22,10,100,1.146996e+02
22,10,1,2.295360e+03
22,10,2,1.516376e+03
22,10,3,1.197521e+03
22,10,5,1.152686e+03
22,10,10,7.165280e+02
22,10,20,6.993438e+02
22,10,30,6.986211e+02
22,10,40,6.985810e+02
22,10,50,6.985725e+02
22,10,60,5.692424e+02
22,10,70,1.299562e+02
22,10,80,1.632207e+01
22,10,90,1.609572e+01
22,10,100,1.609550e+01
22,10,1,2.449092e+03
22,10,2,2.333417e+03
22,10,3,2.020557e+03
22,10,5,1.997088e+03
22,10,10,1.584400e+03
22,10,20,1.539155e+03
22,10,30,1.537961e+03
22,10,40,1.537937e+03
22,10,50,1.471550e+03
22,10,60,1.315624e+03
22,10,70,1.315537e+03
22,10,80,1.117261e+03
22,10,90,1.760399e+02
22,10,100,9.524965e+01
22,10,1,4.042669e+02
22,10,2,3.309735e+02
22,10,3,3.213292e+02
22,10,5,3.177067e+02
22,10,10,2.229056e+02
22,10,20,1.158547e+02
22,10,30,1.152573e+02
22,10,40,1.151714e+02
22,10,50,1.150655e+02
22,10,60,1.150025e+02
22,10,70,1.149350e+02
22,10,80,1.149192e+02
22,10,90,1.149192e+02
22,10,100,1.149192e+02
22,10,1,7.780672e+02
22,10,2,5.528279e+02
22,10,3,5.328236e+02
22,10,5,5.310015e+02
22,10,10,2.423717e+02
22,10,20,1.143459e+02
22,10,30,1.136062e+02
22,10,40,1.132147e+02
22,10,50,1.130559e+02
22,10,60,1.130559e+02
22,10,70,1.128555e+02
22,10,80,1.128452e+02
22,10,90,1.128370e+02
22,10,100,1.128370e+02
22,10,1,4.090992e+02
22,10,2,2.812239e+02
22,10,3,2.770908e+02
22,10,5,2.751807e+02
22,10,10,1.296531e+02
22,10,20,1.215524e+02
22,10,30,1.213511e+02
22,10,40,1.212943e+02
22,10,50,1.212678e+02
22,10,60,1.211998e+02
22,10,70,1.211983e+02
22,10,80,1.211983e+02
22,10,90,1.211983e+02
22,10,100,1.211983e+02
22,10,1,2.304191e+03
22,10,2,1.701543e+03
22,10,3,1.362552e+03
22,10,5,1.326845e+03
22,10,10,1.007514e+03
22,10,20,9.734861e+02
22,10,30,9.729743e+02
22,10,40,9.729290e+02
22,10,50,9.729286e+02
22,10,60,9.729283e+02
22,10,70,3.426136e+02
22,10,80,1.227095e+02
22,10,90,1.225771e+02
22,10,100,1.165609e+02
22,10,1,5.847075e+02
22,10,2,3.797536e+02
22,10,3,3.617102e+02
22,10,5,3.584455e+02
22,10,10,1.200784e+02
22,10,20,1.131617e+02
22,10,30,1.117899e+02
22,10,40,1.111684e+02
22,10,50,1.105957e+02
22,10,60,1.104003e+02
22,10,70,1.102101e+02
22,10,80,1.101519e+02
22,10,90,1.101135e+02
22,10,100,1.100857e+02
22,10,1,3.877063e+02
22,10,2,2.517363e+02
22,10,3,2.409182e+02
22,10,5,2.389045e+02
22,10,10,1.482974e+02
22,10,20,1.370223e+02
22,10,30,1.334422e+02
22,10,40,1.325120e+02
22,10,50,1.323882e+02
22,10,60,1.211448e+02
22,10,70,1.200988e+02
22,10,80,1.195674e+02
22,10,90,1.192568e+02
22,10,100,1.191752e+02
