funcid,dim,milestone,error
19,10,1,3.495308e+04
19,10,2,1.479420e+04
19,10,3,1.479420e+04
19,10,5,1.470980e+04
19,10,10,1.465566e+04
19,10,20,1.095391e+04
19,10,30,9.442131e+03
19,10,40,9.383858e+03
19,10,50,7.823526e+03
19,10,60,7.534692e+03
19,10,70,7.473955e+03
19,10,80,7.213970e+03
19,10,90,6.847685e+03
19,10,100,4.182831e+03
19,10,1,3.186039e+05
19,10,2,3.117532e+04
19,10,3,2.976848e+04
19,10,5,2.936719e+04
19,10,10,2.393884e+04
19,10,20,2.138322e+04
19,10,30,8.180170e+03
19,10,40,7.600003e+03
19,10,50,7.314328e+03
19,10,60,7.301562e+03
19,10,70,7.215192e+03
19,10,80,4.866866e+03
19,10,90,4.635591e+03
19,10,100,4.362947e+03
19,10,1,1.650616e+04
19,10,2,6.152302e+03
19,10,3,6.152302e+03
19,10,5,6.091979e+03
19,10,10,5.240403e+03
19,10,20,5.224144e+03
19,10,30,5.218653e+03
19,10,40,4.772563e+03
19,10,50,4.722384e+03
19,10,60,4.646019e+03
19,10,70,3.044026e+03
19,10,80,2.750492e+03
19,10,90,2.668727e+03
19,10,100,2.351601e+03
19,10,1,2.687477e+05
19,10,2,2.377474e+04
19,10,3,1.742397e+04
19,10,5,1.520121e+04
19,10,10,1.433557e+04
19,10,20,1.317836e+04
19,10,30,1.297710e+04
19,10,40,9.201286e+03
19,10,50,6.070499e+03
19,10,60,5.836538e+03
19,10,70,5.482644e+03
19,10,80,5.443486e+03
19,10,90,5.192675e+03
19,10,100,5.186139e+03
19,10,1,1.766560e+05
19,10,2,2.142448e+04
19,10,3,1.893306e+04
19,10,5,1.870034e+04
19,10,10,1.453311e+04
19,10,20,1.355144e+04
19,10,30,1.018431e+04
19,10,40,1.008888e+04
19,10,50,8.437260e+03
19,10,60,6.682386e+03
19,10,70,6.343171e+03
19,10,80,6.265134e+03
19,10,90,6.198176e+03
19,10,100,5.947827e+03
19,10,1,2.597265e+04
19,10,2,7.765384e+03
19,10,3,7.627408e+03
19,10,5,7.627408e+03
19,10,10,7.580359e+03
19,10,20,7.483966e+03
19,10,30,6.866933e+03
19,10,40,5.206691e+03
19,10,50,4.848038e+03
19,10,60,4.826713e+03
19,10,70,3.655361e+03
19,10,80,3.541242e+03
19,10,90,3.464112e+03
19,10,100,3.376928e+03
19,10,1,1.306146e+04
19,10,2,1.029192e+04
19,10,3,9.955797e+03
19,10,5,9.943630e+03
19,10,10,9.833603e+03
19,10,20,9.582355e+03
19,10,30,9.303119e+03
19,10,40,8.441054e+03
19,10,50,8.405772e+03
19,10,60,6.526050e+03
19,10,70,6.375683e+03
19,10,80,5.951371e+03
19,10,90,5.874397e+03
19,10,100,5.573564e+03
19,10,1,2.509778e+04
19,10,2,1.963920e+04
19,10,3,1.963920e+04
19,10,5,1.944931e+04
19,10,10,1.557597e+04
19,10,20,1.375264e+04
19,10,30,1.338910e+04
19,10,40,1.260657e+04
19,10,50,1.166369e+04
19,10,60,4.194778e+03
19,10,70,4.093418e+03
19,10,80,3.994090e+03
19,10,90,3.938488e+03
19,10,100,3.626902e+03
19,10,1,3.095665e+04
19,10,2,2.713657e+04
19,10,3,2.704203e+04
19,10,5,2.704203e+04
19,10,10,1.032268e+04
19,10,20,8.466579e+03
19,10,30,8.019805e+03
19,10,40,7.957535e+03
19,10,50,6.574480e+03
19,10,60,5.653799e+03
19,10,70,5.316945e+03
19,10,80,5.262663e+03
19,10,90,4.834157e+03
19,10,100,4.713470e+03
19,10,1,5.934339e+03
19,10,2,2.955374e+03
19,10,3,2.955374e+03
19,10,5,2.876779e+03
19,10,10,2.873483e+03
19,10,20,2.284174e+03
19,10,30,2.269985e+03
19,10,40,2.033609e+03
19,10,50,2.031571e+03
19,10,60,1.887630e+03
19,10,70,1.886282e+03
19,10,80,1.886062e+03
19,10,90,1.886062e+03
19,10,100,1.864461e+03
