funcid,dim,milestone,error
14,10,1,1.054299e+04
14,10,2,4.024269e+02
14,10,3,4.024269e+02
14,10,5,3.891337e+02
14,10,10,3.882187e+02
14,10,20,3.760605e+02
14,10,30,3.331989e+02
14,10,40,1.065901e+02
14,10,50,6.710076e+01
14,10,60,6.517004e+01
14,10,70,6.517004e+01
14,10,80,6.157644e+01
14,10,90,6.142641e+01
14,10,100,5.489893e+01
14,10,1,3.439900e+03
14,10,2,1.543751e+02
14,10,3,1.059259e+02
14,10,5,1.007324e+02
14,10,10,1.006958e+02
14,10,20,1.000722e+02
14,10,30,1.000722e+02
14,10,40,1.000722e+02
14,10,50,8.815073e+01
14,10,60,8.655916e+01
14,10,70,8.603815e+01
14,10,80,8.595211e+01
14,10,90,8.356017e+01
14,10,100,8.158064e+01
14,10,1,1.146143e+04
14,10,2,2.354345e+02
14,10,3,1.578820e+02
14,10,5,1.573657e+02
14,10,10,1.506445e+02
14,10,20,1.497865e+02
14,10,30,1.406873e+02
14,10,40,1.376561e+02
14,10,50,1.265571e+02
14,10,60,1.179950e+02
14,10,70,1.156496e+02
14,10,80,1.149095e+02
14,10,90,1.146414e+02
14,10,100,1.121327e+02
14,10,1,3.820342e+02
14,10,2,2.960202e+02
14,10,3,1.081577e+02
14,10,5,1.081577e+02
14,10,10,1.018784e+02
14,10,20,1.006128e+02
14,10,30,9.625398e+01
14,10,40,9.411026e+01
14,10,50,9.264977e+01
14,10,60,9.255479e+01
14,10,70,8.895362e+01
14,10,80,8.701039e+01
14,10,90,8.635589e+01
14,10,100,8.566078e+01
14,10,1,2.259340e+03
14,10,2,1.166726e+03
14,10,3,1.166726e+03
14,10,5,1.166726e+03
14,10,10,1.166422e+03
14,10,20,4.983965e+02
14,10,30,1.919814e+02
14,10,40,1.017330e+02
14,10,50,8.635397e+01
14,10,60,7.831804e+01
14,10,70,7.807167e+01
14,10,80,6.764871e+01
14,10,90,4.437813e+01
14,10,100,4.343036e+01
14,10,1,2.517003e+03
14,10,2,8.819386e+02
14,10,3,8.819386e+02
14,10,5,8.819386e+02
14,10,10,6.995837e+02
14,10,20,4.939591e+02
14,10,30,8.779685e+01
14,10,40,8.193024e+01
14,10,50,8.077739e+01
14,10,60,7.372494e+01
14,10,70,4.289996e+01
14,10,80,3.739566e+01
14,10,90,3.677731e+01
14,10,100,3.605038e+01
14,10,1,5.890302e+02
14,10,2,9.864126e+01
14,10,3,9.864126e+01
14,10,5,9.129810e+01
14,10,10,9.036856e+01
14,10,20,8.268287e+01
14,10,30,7.967007e+01
14,10,40,6.193407e+01
14,10,50,6.190373e+01
14,10,60,5.977780e+01
14,10,70,5.221686e+01
14,10,80,5.221686e+01
14,10,90,5.200776e+01
14,10,100,5.200776e+01
14,10,1,2.590338e+03
14,10,2,1.905642e+02
14,10,3,9.807793e+01
14,10,5,9.807793e+01
14,10,10,8.429610e+01
14,10,20,7.677418e+01
14,10,30,7.516348e+01
14,10,40,7.239635e+01
14,10,50,7.078788e+01
14,10,60,6.937090e+01
14,10,70,6.620933e+01
14,10,80,6.315248e+01
14,10,90,6.208189e+01
14,10,100,5.980686e+01
14,10,1,2.336652e+02
14,10,2,1.088662e+02
14,10,3,6.197964e+01
14,10,5,6.197964e+01
14,10,10,5.972510e+01
14,10,20,5.180971e+01
14,10,30,4.840532e+01
14,10,40,4.835666e+01
14,10,50,4.579146e+01
14,10,60,3.871222e+01
14,10,70,3.740358e+01
14,10,80,3.701975e+01
14,10,90,3.540361e+01
14,10,100,3.538394e+01
14,10,1,8.454594e+03
14,10,2,4.253396e+02
14,10,3,4.174043e+02
14,10,5,4.174043e+02
14,10,10,4.174043e+02
14,10,20,1.166379e+02
14,10,30,7.650173e+01
14,10,40,6.125302e+01
14,10,50,5.910385e+01
14,10,60,5.306801e+01
14,10,70,5.306801e+01
14,10,80,5.153131e+01
14,10,90,5.129477e+01
14,10,100,4.980409e+01
