funcid,dim,milestone,error
16,10,1,5.595123e+02
16,10,2,3.635088e+02
16,10,3,3.490501e+02
16,10,5,3.461750e+02
16,10,10,3.335294e+02
16,10,20,3.037951e+02
16,10,30,2.872526e+02
16,10,40,2.830603e+02
16,10,50,2.767219e+02
16,10,60,2.728581e+02
16,10,70,2.687348e+02
16,10,80,2.672532e+02
16,10,90,2.668283e+02
16,10,100,2.664882e+02
16,10,1,4.870364e+02
16,10,2,2.340783e+02
16,10,3,2.237789e+02
16,10,5,2.217205e+02
16,10,10,1.925818e+02
16,10,20,1.464038e+02
16,10,30,1.380453e+02
16,10,40,1.356143e+02
16,10,50,1.326516e+02
16,10,60,1.323269e+02
16,10,70,1.308114e+02
16,10,80,1.303928e+02
16,10,90,1.285013e+02
16,10,100,1.284480e+02
16,10,1,3.194700e+02
16,10,2,2.919139e+02
16,10,3,2.441126e+02
16,10,5,2.418180e+02
16,10,10,2.254213e+02
16,10,20,1.945990e+02
16,10,30,1.720629e+02
16,10,40,1.610918e+02
16,10,50,1.563829e+02
16,10,60,1.511075e+02
16,10,70,1.490003e+02
16,10,80,1.453163e+02
16,10,90,1.446392e+02
16,10,100,1.442993e+02
16,10,1,6.106927e+02
16,10,2,3.687819e+02
16,10,3,3.068700e+02
16,10,5,3.011306e+02
16,10,10,2.526630e+02
16,10,20,2.284616e+02
16,10,30,1.932516e+02
16,10,40,1.698816e+02
16,10,50,1.512011e+02
16,10,60,1.449443e+02
16,10,70,1.427844e+02
16,10,80,1.409481e+02
16,10,90,1.400768e+02
16,10,100,1.389347e+02
16,10,1,2.718482e+02
16,10,2,1.237709e+02
16,10,3,1.119774e+02
16,10,5,9.800060e+01
16,10,10,6.689434e+01
16,10,20,5.301370e+01
16,10,30,4.155127e+01
16,10,40,2.564925e+01
16,10,50,2.210028e+01
16,10,60,1.961618e+01
16,10,70,1.811381e+01
16,10,80,1.710673e+01
16,10,90,1.675948e+01
16,10,100,1.599047e+01
16,10,1,5.825540e+02
16,10,2,4.515707e+02
16,10,3,4.515707e+02
16,10,5,4.515707e+02
16,10,10,4.515707e+02
16,10,20,3.521744e+02
16,10,30,2.816679e+02
16,10,40,2.678350e+02
16,10,50,2.599545e+02
16,10,60,2.591411e+02
16,10,70,2.574712e+02
16,10,80,2.567248e+02
16,10,90,2.560681e+02
16,10,100,2.555056e+02
16,10,1,1.688197e+02
16,10,2,1.688197e+02
16,10,3,1.688197e+02
16,10,5,1.688197e+02
16,10,10,1.647476e+02
16,10,20,4.491223e+01
16,10,30,3.877512e+01
16,10,40,3.448017e+01
16,10,50,3.259658e+01
16,10,60,2.944461e+01
16,10,70,2.281538e+01
16,10,80,2.191416e+01
16,10,90,2.113107e+01
16,10,100,2.039588e+01
16,10,1,3.950019e+02
16,10,2,3.950019e+02
16,10,3,3.950019e+02
16,10,5,3.950019e+02
16,10,10,3.944319e+02
16,10,20,2.824178e+02
16,10,30,2.663624e+02
16,10,40,2.582835e+02
16,10,50,2.575371e+02
16,10,60,2.569547e+02
16,10,70,2.567881e+02
16,10,80,2.564524e+02
16,10,90,2.558410e+02
16,10,100,2.533763e+02
16,10,1,2.592824e+02
16,10,2,2.592824e+02
16,10,3,2.592824e+02
16,10,5,2.592824e+02
16,10,10,2.561806e+02
16,10,20,2.152725e+02
16,10,30,2.152725e+02
16,10,40,5.258975e+01
16,10,50,3.958367e+01
16,10,60,2.674024e+01
16,10,70,2.384522e+01
16,10,80,2.356400e+01
16,10,90,2.216221e+01
16,10,100,2.178467e+01
16,10,1,6.408439e+02
16,10,2,6.408439e+02
16,10,3,6.408439e+02
16,10,5,5.342228e+02
16,10,10,4.492331e+02
16,10,20,3.844759e+02
16,10,30,3.797597e+02
16,10,40,3.174838e+02
16,10,50,3.174838e+02
16,10,60,3.174838e+02
16,10,70,1.666754e+02
16,10,80,1.619697e+02
16,10,90,1.585452e+02
16,10,100,1.300367e+02
