funcid,dim,milestone,error
2,30,1,2.223310e+37
2,30,2,1.585728e+37
2,30,3,2.447113e+32
2,30,5,5.766750e+31
2,30,10,3.940285e+29
2,30,20,3.686920e+26
2,30,30,8.817711e+24
2,30,40,7.110815e+22
2,30,50,1.424969e+22
2,30,60,1.294500e+22
2,30,70,8.641218e+21
2,30,80,2.524374e+21
2,30,90,2.618117e+19
2,30,100,8.146541e+18
2,30,1,3.042362e+41
2,30,2,2.974459e+41
2,30,3,1.671176e+39
2,30,5,7.903781e+37
2,30,10,1.477848e+35
2,30,20,1.005577e+32
2,30,30,1.608391e+29
2,30,40,8.880815e+27
2,30,50,9.935380e+26
2,30,60,9.000725e+25
2,30,70,7.405294e+25
2,30,80,1.862567e+24
2,30,90,1.716998e+23
2,30,100,3.548104e+22
2,30,1,5.492281e+34
2,30,2,5.380207e+34
2,30,3,7.536888e+32
2,30,5,5.020453e+30
2,30,10,2.237605e+29
2,30,20,1.337659e+28
2,30,30,2.602503e+27
2,30,40,1.376262e+27
2,30,50,4.361442e+26
2,30,60,5.665972e+25
2,30,70,1.441122e+25
2,30,80,9.005713e+22
2,30,90,1.266043e+22
2,30,100,4.240629e+21
2,30,1,6.439385e+37
2,30,2,6.437068e+37
2,30,3,4.338838e+34
2,30,5,1.644242e+34
2,30,10,3.381958e+31
2,30,20,7.489342e+28
2,30,30,6.929586e+27
2,30,40,1.058709e+27
2,30,50,6.660228e+25
2,30,60,1.784455e+25
2,30,70,4.367155e+23
2,30,80,3.779731e+23
2,30,90,2.590518e+22
2,30,100,4.499403e+21
2,30,1,3.648096e+36
2,30,2,3.787374e+35
2,30,3,3.843017e+32
2,30,5,1.258909e+32
2,30,10,7.457512e+29
2,30,20,5.383012e+28
2,30,30,1.513966e+27
2,30,40,2.598605e+26
2,30,50,2.033696e+26
2,30,60,3.964172e+24
2,30,70,1.012388e+24
2,30,80,4.143577e+23
2,30,90,2.514889e+23
2,30,100,8.267966e+22
2,30,1,1.466686e+34
2,30,2,1.189317e+34
2,30,3,3.512440e+31
2,30,5,8.644115e+30
2,30,10,4.485755e+28
2,30,20,3.250801e+26
2,30,30,1.623612e+26
2,30,40,3.203627e+24
2,30,50,7.973659e+23
2,30,60,2.734426e+23
2,30,70,4.993335e+22
2,30,80,3.134280e+21
2,30,90,2.767582e+20
2,30,100,1.896263e+20
2,30,1,4.465249e+31
2,30,2,4.332777e+31
2,30,3,4.148283e+31
2,30,5,1.205102e+31
2,30,10,1.047205e+30
2,30,20,2.127567e+28
2,30,30,4.950180e+26
2,30,40,1.095258e+26
2,30,50,1.277706e+25
2,30,60,2.977858e+24
2,30,70,3.894633e+23
2,30,80,1.506893e+23
2,30,90,2.849777e+22
2,30,100,5.712149e+21
2,30,1,4.322550e+36
2,30,2,4.163667e+36
2,30,3,1.155942e+36
2,30,5,1.548730e+35
2,30,10,1.835214e+30
2,30,20,4.368512e+27
2,30,30,2.250329e+26
2,30,40,7.246485e+25
2,30,50,3.273175e+25
2,30,60,1.379413e+25
2,30,70,9.624243e+24
2,30,80,6.545599e+24
2,30,90,7.449147e+23
2,30,100,6.264299e+23
2,30,1,4.408966e+37
2,30,2,4.174494e+37
2,30,3,4.120513e+34
2,30,5,2.087948e+33
2,30,10,3.855395e+31
2,30,20,1.786265e+30
2,30,30,2.355703e+29
2,30,40,2.850022e+28
2,30,50,1.451231e+27
2,30,60,5.355392e+26
2,30,70,5.351035e+25
2,30,80,7.305801e+24
2,30,90,7.063273e+23
2,30,100,2.887069e+23
2,30,1,9.580569e+35
2,30,2,9.016985e+35
2,30,3,5.699303e+34
2,30,5,3.935675e+33
2,30,10,3.319185e+30
2,30,20,4.006709e+28
2,30,30,1.451051e+26
2,30,40,1.061816e+24
2,30,50,4.793082e+23
2,30,60,1.973771e+23
2,30,70,9.602354e+21
2,30,80,6.240123e+21
2,30,90,3.789517e+21
2,30,100,2.376990e+21
