funcid,dim,milestone,error
1,10,1,2.840151e+09
1,10,2,1.352961e+09
1,10,3,1.242120e+09
1,10,5,1.220022e+09
1,10,10,4.180779e+08
1,10,20,1.223732e+08
1,10,30,6.413951e+07
1,10,40,1.456622e+07
1,10,50,7.626138e+06
1,10,60,4.922675e+06
1,10,70,1.887016e+06
1,10,80,4.175986e+05
1,10,90,3.397699e+05
1,10,100,2.855501e+05
1,10,1,1.778723e+09
1,10,2,6.871624e+08
1,10,3,6.136618e+08
1,10,5,6.049216e+08
1,10,10,3.266494e+08
1,10,20,7.447517e+07
1,10,30,2.417549e+07
1,10,40,3.926348e+06
1,10,50,2.657211e+06
1,10,60,2.415322e+06
1,10,70,1.823625e+06
1,10,80,1.755096e+06
1,10,90,5.445156e+05
1,10,100,3.829108e+05
1,10,1,1.076801e+09
1,10,2,9.011457e+07
1,10,3,7.084554e+07
1,10,5,6.967188e+07
1,10,10,4.948698e+07
1,10,20,2.281470e+07
1,10,30,4.599337e+06
1,10,40,1.084906e+06
1,10,50,6.312834e+05
1,10,60,6.081553e+05
1,10,70,6.039564e+05
1,10,80,3.234918e+05
1,10,90,1.758755e+05
1,10,100,1.146037e+05
1,10,1,1.450599e+09
1,10,2,1.928047e+08
1,10,3,1.526005e+08
1,10,5,1.474128e+08
1,10,10,6.456397e+07
1,10,20,3.108685e+07
1,10,30,2.014727e+07
1,10,40,3.104976e+06
1,10,50,9.382266e+05
1,10,60,5.262749e+05
1,10,70,2.960447e+05
1,10,80,2.171327e+04
1,10,90,1.837168e+04
1,10,100,1.795726e+04
1,10,1,1.135146e+09
1,10,2,2.187611e+08
1,10,3,1.880528e+08
1,10,5,1.853180e+08
1,10,10,1.044880e+08
1,10,20,2.922612e+07
1,10,30,1.082589e+07
1,10,40,4.268262e+06
1,10,50,3.580452e+06
1,10,60,2.598222e+06
1,10,70,2.545296e+06
1,10,80,1.732697e+06
1,10,90,6.507123e+05
1,10,100,4.295171e+05
1,10,1,3.966660e+09
1,10,2,3.102811e+09
1,10,3,2.977546e+09
1,10,5,2.966036e+09
1,10,10,3.096010e+08
1,10,20,7.601995e+07
1,10,30,3.736857e+07
1,10,40,2.454324e+06
1,10,50,1.130989e+06
1,10,60,4.040934e+05
1,10,70,2.946033e+05
1,10,80,1.328079e+05
1,10,90,1.558217e+04
1,10,100,1.558217e+04
1,10,1,2.689142e+09
1,10,2,1.093319e+09
1,10,3,1.029727e+09
1,10,5,1.022323e+09
1,10,10,5.745899e+08
1,10,20,6.230063e+07
1,10,30,2.992655e+07
1,10,40,1.227180e+07
1,10,50,8.665960e+06
1,10,60,4.710085e+06
1,10,70,3.371818e+06
1,10,80,2.039430e+06
1,10,90,1.427551e+06
1,10,100,8.370064e+05
1,10,1,2.980931e+09
1,10,2,1.664233e+09
1,10,3,1.583276e+09
1,10,5,1.565809e+09
1,10,10,9.103176e+08
1,10,20,4.315974e+08
1,10,30,1.456887e+08
1,10,40,2.983247e+07
1,10,50,1.833977e+07
1,10,60,5.541721e+06
1,10,70,2.870227e+06
1,10,80,1.301058e+06
1,10,90,9.401642e+05
1,10,100,7.530948e+05
1,10,1,1.651752e+09
1,10,2,3.277987e+08
1,10,3,3.027307e+08
1,10,5,2.975582e+08
1,10,10,1.848785e+08
1,10,20,2.535966e+07
1,10,30,2.186842e+07
1,10,40,3.625607e+06
1,10,50,1.326490e+06
1,10,60,8.247584e+05
1,10,70,5.041930e+05
1,10,80,4.771290e+05
1,10,90,1.273537e+05
1,10,100,3.651194e+04
1,10,1,2.652085e+09
1,10,2,1.317496e+09
1,10,3,1.206658e+09
1,10,5,1.191099e+09
1,10,10,4.168581e+08
1,10,20,1.887584e+08
1,10,30,8.247975e+07
1,10,40,4.254644e+07
1,10,50,6.897811e+06
1,10,60,2.130337e+06
1,10,70,1.593108e+06
1,10,80,5.446264e+05
1,10,90,1.260513e+05
1,10,100,8.323926e+04
