funcid,dim,milestone,error
4,30,1,3.052008e+03
4,30,2,3.025504e+03
4,30,3,1.939345e+03
4,30,5,1.306967e+03
4,30,10,1.127314e+03
4,30,20,7.529822e+02
4,30,30,6.196775e+02
4,30,40,5.247002e+02
4,30,50,4.911023e+02
4,30,60,4.323459e+02
4,30,70,3.676285e+02
4,30,80,3.354480e+02
4,30,90,3.183278e+02
4,30,100,2.846274e+02
4,30,1,3.487430e+03
4,30,2,3.469634e+03
4,30,3,2.216672e+03
4,30,5,1.575062e+03
4,30,10,1.062204e+03
4,30,20,7.673132e+02
4,30,30,6.473586e+02
4,30,40,4.903461e+02
4,30,50,4.482669e+02
4,30,60,3.959748e+02
4,30,70,3.499145e+02
4,30,80,3.378301e+02
4,30,90,3.202584e+02
4,30,100,2.961751e+02
4,30,1,1.411550e+03
4,30,2,1.399607e+03
4,30,3,1.043227e+03
4,30,5,9.327806e+02
4,30,10,8.233913e+02
4,30,20,6.876989e+02
4,30,30,5.668423e+02
4,30,40,5.163534e+02
4,30,50,4.807132e+02
4,30,60,4.401434e+02
4,30,70,4.065190e+02
4,30,80,3.822700e+02
4,30,90,3.650647e+02
4,30,100,3.500635e+02
4,30,1,3.643693e+03
4,30,2,3.624185e+03
4,30,3,2.896514e+03
4,30,5,2.359386e+03
4,30,10,1.511407e+03
4,30,20,8.636828e+02
4,30,30,7.546325e+02
4,30,40,5.803933e+02
4,30,50,5.226126e+02
4,30,60,4.547534e+02
4,30,70,4.328267e+02
4,30,80,4.184083e+02
4,30,90,3.796254e+02
4,30,100,3.523387e+02
4,30,1,2.594971e+03
4,30,2,2.584673e+03
4,30,3,1.898360e+03
4,30,5,1.746262e+03
4,30,10,1.496398e+03
4,30,20,1.115597e+03
4,30,30,9.422611e+02
4,30,40,8.174591e+02
4,30,50,6.844215e+02
4,30,60,6.210885e+02
4,30,70,5.748601e+02
4,30,80,5.066786e+02
4,30,90,4.610494e+02
4,30,100,4.261290e+02
4,30,1,3.126958e+03
4,30,2,3.109720e+03
4,30,3,2.433692e+03
4,30,5,2.004276e+03
4,30,10,1.283713e+03
4,30,20,8.358864e+02
4,30,30,6.846888e+02
4,30,40,5.738043e+02
4,30,50,4.924036e+02
4,30,60,4.609778e+02
4,30,70,4.189098e+02
4,30,80,3.868840e+02
4,30,90,3.780696e+02
4,30,100,3.597641e+02
4,30,1,1.926677e+03
4,30,2,1.915263e+03
4,30,3,1.734834e+03
4,30,5,1.581032e+03
4,30,10,1.104824e+03
4,30,20,8.319016e+02
4,30,30,5.664149e+02
4,30,40,5.184720e+02
4,30,50,4.846480e+02
4,30,60,4.583223e+02
4,30,70,4.223705e+02
4,30,80,3.979914e+02
4,30,90,3.578839e+02
4,30,100,3.440758e+02
4,30,1,3.879290e+03
4,30,2,3.872067e+03
4,30,3,2.454078e+03
4,30,5,2.142664e+03
4,30,10,1.525665e+03
4,30,20,1.032637e+03
4,30,30,8.389561e+02
4,30,40,6.754646e+02
4,30,50,5.979813e+02
4,30,60,5.248180e+02
4,30,70,4.825996e+02
4,30,80,3.902601e+02
4,30,90,3.650902e+02
4,30,100,3.363614e+02
4,30,1,3.503055e+03
4,30,2,3.487225e+03
4,30,3,2.204398e+03
4,30,5,1.649154e+03
4,30,10,1.316052e+03
4,30,20,8.788494e+02
4,30,30,7.294646e+02
4,30,40,5.745459e+02
4,30,50,4.939578e+02
4,30,60,4.683775e+02
4,30,70,4.493009e+02
4,30,80,4.077035e+02
4,30,90,3.479703e+02
4,30,100,3.317837e+02
4,30,1,2.744867e+03
4,30,2,2.728890e+03
4,30,3,2.105350e+03
4,30,5,1.931725e+03
4,30,10,1.141143e+03
4,30,20,8.609053e+02
4,30,30,6.547637e+02
4,30,40,5.887798e+02
4,30,50,5.436756e+02
4,30,60,5.176637e+02
4,30,70,4.681009e+02
4,30,80,4.610295e+02
4,30,90,4.414723e+02
4,30,100,4.255717e+02
