funcid,dim,milestone,error
22,30,1,8.901180e+03
22,30,2,8.901180e+03
22,30,3,8.901180e+03
22,30,5,7.559980e+03
22,30,10,6.505617e+03
22,30,20,5.403255e+03
22,30,30,5.200851e+03
22,30,40,5.136518e+03
22,30,50,5.097026e+03
22,30,60,5.097026e+03
22,30,70,5.093826e+03
22,30,80,5.093043e+03
22,30,90,5.091913e+03
22,30,100,5.076367e+03
22,30,1,6.369347e+03
22,30,2,6.321629e+03
22,30,3,3.626759e+03
22,30,5,2.652034e+03
22,30,10,1.698176e+03
22,30,20,9.892922e+02
22,30,30,9.035727e+02
22,30,40,8.779068e+02
22,30,50,8.168238e+02
22,30,60,6.420714e+02
22,30,70,5.746842e+02
22,30,80,5.320315e+02
22,30,90,5.156984e+02
22,30,100,5.078486e+02
22,30,1,8.200701e+03
22,30,2,8.088913e+03
22,30,3,7.288317e+03
22,30,5,7.022987e+03
22,30,10,6.972741e+03
22,30,20,6.600842e+03
22,30,30,6.550475e+03
22,30,40,6.470159e+03
22,30,50,6.440851e+03
22,30,60,6.410762e+03
22,30,70,6.403679e+03
22,30,80,6.403619e+03
22,30,90,6.389274e+03
22,30,100,6.382026e+03
22,30,1,7.873804e+03
22,30,2,7.635779e+03
22,30,3,6.912675e+03
22,30,5,6.766347e+03
22,30,10,6.513046e+03
22,30,20,5.334760e+03
22,30,30,5.265226e+03
22,30,40,5.240003e+03
22,30,50,5.188194e+03
22,30,60,5.153679e+03
22,30,70,5.068706e+03
22,30,80,5.068706e+03
22,30,90,5.068706e+03
22,30,100,5.053655e+03
22,30,1,8.138163e+03
22,30,2,8.020746e+03
22,30,3,8.020015e+03
22,30,5,7.682476e+03
22,30,10,7.249869e+03
22,30,20,7.130474e+03
22,30,30,6.690945e+03
22,30,40,6.499610e+03
22,30,50,6.409787e+03
22,30,60,6.384750e+03
22,30,70,6.337884e+03
22,30,80,6.187393e+03
22,30,90,5.973584e+03
22,30,100,5.955486e+03
22,30,1,7.890538e+03
22,30,2,7.890538e+03
22,30,3,7.890538e+03
22,30,5,7.890538e+03
22,30,10,6.068307e+03
22,30,20,5.462317e+03
22,30,30,5.274824e+03
22,30,40,4.988157e+03
22,30,50,4.877489e+03
22,30,60,4.871884e+03
22,30,70,4.851894e+03
22,30,80,4.851894e+03
22,30,90,4.851894e+03
22,30,100,4.851894e+03
22,30,1,5.650509e+03
22,30,2,5.617373e+03
22,30,3,3.600200e+03
22,30,5,2.638399e+03
22,30,10,1.807942e+03
22,30,20,8.757434e+02
22,30,30,7.383642e+02
22,30,40,6.546756e+02
22,30,50,5.680766e+02
22,30,60,5.101472e+02
22,30,70,4.558262e+02
22,30,80,4.022264e+02
22,30,90,3.617453e+02
22,30,100,3.434983e+02
22,30,1,8.631938e+03
22,30,2,8.333508e+03
22,30,3,8.073963e+03
22,30,5,7.163307e+03
22,30,10,6.207952e+03
22,30,20,5.453911e+03
22,30,30,5.294294e+03
22,30,40,5.135796e+03
22,30,50,5.084007e+03
22,30,60,5.077109e+03
22,30,70,5.012617e+03
22,30,80,4.893798e+03
22,30,90,4.876283e+03
22,30,100,4.871105e+03
22,30,1,7.478985e+03
22,30,2,6.988019e+03
22,30,3,6.855963e+03
22,30,5,6.772436e+03
22,30,10,6.772436e+03
22,30,20,6.546085e+03
22,30,30,6.501582e+03
22,30,40,6.306273e+03
22,30,50,5.834824e+03
22,30,60,5.620556e+03
22,30,70,5.577562e+03
22,30,80,5.488899e+03
22,30,90,5.369409e+03
22,30,100,5.343867e+03
22,30,1,7.104395e+03
22,30,2,7.021123e+03
22,30,3,4.419337e+03
22,30,5,3.032846e+03
22,30,10,2.223739e+03
22,30,20,8.668113e+02
22,30,30,6.769040e+02
22,30,40,6.034508e+02
22,30,50,4.796022e+02
22,30,60,4.489474e+02
22,30,70,4.170388e+02
22,30,80,4.073475e+02
22,30,90,3.891586e+02
22,30,100,3.658265e+02
