funcid,dim,milestone,error
10,10,1,1.707082e+03
10,10,2,1.707082e+03
10,10,3,1.707082e+03
10,10,5,1.707082e+03
10,10,10,1.707082e+03
10,10,20,9.628954e+02
10,10,30,9.354083e+02
10,10,40,8.399143e+02
10,10,50,8.289922e+02
10,10,60,8.222902e+02
10,10,70,8.203096e+02
10,10,80,8.181862e+02
10,10,90,8.108245e+02
10,10,100,8.057575e+02
10,10,1,2.051530e+03
10,10,2,2.051530e+03
10,10,3,2.051530e+03
10,10,5,2.051530e+03
10,10,10,2.051530e+03
10,10,20,2.051530e+03
10,10,30,2.034671e+03
10,10,40,2.029569e+03
10,10,50,1.786442e+03
10,10,60,1.590037e+03
10,10,70,1.587441e+03
10,10,80,1.582673e+03
10,10,90,1.395483e+03
10,10,100,1.377660e+03
10,10,1,2.231083e+03
10,10,2,2.231083e+03
10,10,3,1.864817e+03
10,10,5,1.561191e+03
10,10,10,1.523493e+03
10,10,20,1.425209e+03
10,10,30,1.422410e+03
10,10,40,1.402461e+03
10,10,50,1.387720e+03
10,10,60,1.370990e+03
10,10,70,1.370990e+03
10,10,80,1.370990e+03
10,10,90,1.369901e+03
10,10,100,1.369901e+03
10,10,1,2.078137e+03
10,10,2,1.999370e+03
10,10,3,1.999370e+03
10,10,5,1.999370e+03
10,10,10,1.643568e+03
10,10,20,1.643568e+03
10,10,30,1.421226e+03
10,10,40,1.319252e+03
10,10,50,1.082732e+03
10,10,60,1.074719e+03
10,10,70,1.060707e+03
10,10,80,1.059193e+03
10,10,90,1.059102e+03
10,10,100,1.059102e+03
10,10,1,1.804228e+03
10,10,2,1.804228e+03
10,10,3,1.801163e+03
10,10,5,1.772545e+03
10,10,10,1.369892e+03
10,10,20,1.332906e+03
10,10,30,1.275888e+03
10,10,40,1.121244e+03
10,10,50,1.022474e+03
10,10,60,9.826557e+02
10,10,70,9.718448e+02
10,10,80,9.654388e+02
10,10,90,9.601695e+02
10,10,100,9.503700e+02
10,10,1,2.419792e+03
10,10,2,2.084347e+03
10,10,3,2.084347e+03
10,10,5,1.877969e+03
10,10,10,1.867085e+03
10,10,20,1.472876e+03
10,10,30,1.114159e+03
10,10,40,1.085344e+03
10,10,50,1.041621e+03
10,10,60,1.030292e+03
10,10,70,1.018840e+03
10,10,80,9.774659e+02
10,10,90,9.768446e+02
10,10,100,9.631432e+02
10,10,1,1.613119e+03
10,10,2,1.613119e+03
10,10,3,1.613119e+03
10,10,5,1.613119e+03
10,10,10,1.613119e+03
10,10,20,1.391909e+03
10,10,30,1.381500e+03
10,10,40,1.151247e+03
10,10,50,1.118920e+03
10,10,60,9.747318e+02
10,10,70,9.693253e+02
10,10,80,9.680411e+02
10,10,90,9.592872e+02
10,10,100,9.588957e+02
10,10,1,1.926111e+03
10,10,2,1.926111e+03
10,10,3,1.496867e+03
10,10,5,1.427079e+03
10,10,10,9.440790e+02
10,10,20,7.782053e+02
10,10,30,7.626961e+02
10,10,40,7.430941e+02
10,10,50,7.412584e+02
10,10,60,7.353436e+02
10,10,70,7.323798e+02
10,10,80,7.221956e+02
10,10,90,7.164292e+02
10,10,100,7.151209e+02
10,10,1,1.961051e+03
10,10,2,1.855349e+03
10,10,3,1.855349e+03
10,10,5,1.855349e+03
10,10,10,1.743165e+03
10,10,20,1.674232e+03
10,10,30,1.649861e+03
10,10,40,1.517585e+03
10,10,50,1.517585e+03
10,10,60,1.495735e+03
10,10,70,1.495192e+03
10,10,80,1.483559e+03
10,10,90,1.483380e+03
10,10,100,1.350706e+03
10,10,1,2.080478e+03
10,10,2,1.891769e+03
10,10,3,1.531687e+03
10,10,5,1.482322e+03
10,10,10,1.222542e+03
10,10,20,1.210827e+03
10,10,30,1.201187e+03
10,10,40,1.195080e+03
10,10,50,1.195031e+03
10,10,60,1.195031e+03
10,10,70,1.193228e+03
10,10,80,1.192312e+03
10,10,90,1.191280e+03
10,10,100,1.190998e+03
