funcid,dim,milestone,error
24,30,1,1.023407e+03
24,30,2,1.015495e+03
24,30,3,9.778252e+02
24,30,5,9.494524e+02
24,30,10,8.957263e+02
24,30,20,8.877975e+02
24,30,30,8.601877e+02
24,30,40,8.580910e+02
24,30,50,8.555999e+02
24,30,60,8.504322e+02
24,30,70,8.197627e+02
24,30,80,8.087177e+02
24,30,90,8.032555e+02
24,30,100,7.977068e+02
24,30,1,9.392279e+02
24,30,2,9.354209e+02
24,30,3,9.183517e+02
24,30,5,9.050198e+02
24,30,10,8.994811e+02
24,30,20,8.878064e+02
24,30,30,8.859967e+02
24,30,40,8.855521e+02
24,30,50,8.846680e+02
24,30,60,8.787392e+02
24,30,70,8.787392e+02
24,30,80,8.786578e+02
24,30,90,8.738644e+02
24,30,100,8.702163e+02
24,30,1,8.004218e+02
24,30,2,7.978941e+02
24,30,3,7.843173e+02
24,30,5,7.492768e+02
24,30,10,7.249965e+02
24,30,20,7.075365e+02
24,30,30,6.831746e+02
24,30,40,6.751122e+02
24,30,50,6.654733e+02
24,30,60,6.558864e+02
24,30,70,6.548725e+02
24,30,80,6.527250e+02
24,30,90,6.475744e+02
24,30,100,6.459170e+02
24,30,1,7.442668e+02
24,30,2,7.416568e+02
24,30,3,6.953703e+02
24,30,5,6.949717e+02
24,30,10,6.905485e+02
24,30,20,6.828140e+02
24,30,30,6.719807e+02
24,30,40,6.695798e+02
24,30,50,6.645052e+02
24,30,60,6.597913e+02
24,30,70,6.570163e+02
24,30,80,6.567728e+02
24,30,90,6.533913e+02
24,30,100,6.514655e+02
24,30,1,1.142958e+03
24,30,2,1.136759e+03
24,30,3,9.079042e+02
24,30,5,9.018701e+02
24,30,10,8.307380e+02
24,30,20,7.864353e+02
24,30,30,7.781372e+02
24,30,40,7.778407e+02
24,30,50,7.744645e+02
24,30,60,7.695397e+02
24,30,70,7.685304e+02
24,30,80,7.660171e+02
24,30,90,7.659283e+02
24,30,100,7.655543e+02
24,30,1,9.537759e+02
24,30,2,9.513434e+02
24,30,3,9.226416e+02
24,30,5,9.181802e+02
24,30,10,9.028927e+02
24,30,20,8.743207e+02
24,30,30,8.619071e+02
24,30,40,8.558417e+02
24,30,50,8.499249e+02
24,30,60,8.457264e+02
24,30,70,8.036599e+02
24,30,80,7.405679e+02
24,30,90,7.379076e+02
24,30,100,7.303542e+02
24,30,1,9.395507e+02
24,30,2,9.333020e+02
24,30,3,9.052862e+02
24,30,5,8.878397e+02
24,30,10,8.295764e+02
24,30,20,8.213249e+02
24,30,30,8.141820e+02
24,30,40,8.093097e+02
24,30,50,8.064755e+02
24,30,60,8.062631e+02
24,30,70,8.053530e+02
24,30,80,8.053277e+02
24,30,90,8.041296e+02
24,30,100,8.035291e+02
24,30,1,9.668649e+02
24,30,2,9.580052e+02
24,30,3,9.333935e+02
24,30,5,9.309896e+02
24,30,10,9.233452e+02
24,30,20,8.548339e+02
24,30,30,8.156776e+02
24,30,40,7.986959e+02
24,30,50,7.973923e+02
24,30,60,7.858437e+02
24,30,70,7.810551e+02
24,30,80,7.769486e+02
24,30,90,7.730733e+02
24,30,100,7.659281e+02
24,30,1,9.389611e+02
24,30,2,9.317574e+02
24,30,3,9.237690e+02
24,30,5,8.937935e+02
24,30,10,8.832798e+02
24,30,20,8.694743e+02
24,30,30,8.688455e+02
24,30,40,8.429858e+02
24,30,50,8.314601e+02
24,30,60,8.192027e+02
24,30,70,8.165167e+02
24,30,80,8.117672e+02
24,30,90,8.110052e+02
24,30,100,8.108123e+02
24,30,1,1.047744e+03
24,30,2,1.041455e+03
24,30,3,1.029290e+03
24,30,5,9.761921e+02
24,30,10,9.297865e+02
24,30,20,9.121131e+02
24,30,30,8.613800e+02
24,30,40,8.542470e+02
24,30,50,8.431816e+02
24,30,60,8.273659e+02
24,30,70,8.118575e+02
24,30,80,8.108790e+02
24,30,90,7.972818e+02
24,30,100,7.905120e+02
