funcid,dim,milestone,error
13,30,1,1.656071e+09
13,30,2,1.629747e+09
13,30,3,3.038917e+08
13,30,5,9.320987e+07
13,30,10,3.143230e+07
13,30,20,2.022149e+06
13,30,30,3.761041e+05
13,30,40,3.284062e+05
13,30,50,7.388126e+04
13,30,60,7.135672e+04
13,30,70,7.024555e+04
13,30,80,5.623239e+04
13,30,90,5.394124e+04
13,30,100,5.394124e+04
13,30,1,2.350766e+08
13,30,2,2.296178e+08
13,30,3,1.093142e+08
13,30,5,3.505448e+07
13,30,10,9.088016e+06
13,30,20,7.845048e+05
13,30,30,7.845048e+05
13,30,40,3.224997e+05
13,30,50,6.768395e+04
13,30,60,4.466354e+04
13,30,70,4.302686e+04
13,30,80,3.940243e+04
13,30,90,3.793929e+04
13,30,100,3.766995e+04
13,30,1,2.732867e+08
13,30,2,2.694735e+08
13,30,3,1.765035e+08
13,30,5,7.215092e+07
13,30,10,1.993743e+07
13,30,20,4.243674e+06
13,30,30,1.913954e+05
13,30,40,5.562294e+04
13,30,50,2.337676e+04
13,30,60,2.308427e+04
13,30,70,2.057759e+04
13,30,80,2.057759e+04
13,30,90,1.972725e+04
13,30,100,1.972725e+04
13,30,1,5.042260e+08
13,30,2,4.998947e+08
13,30,3,1.170583e+08
13,30,5,3.536014e+07
13,30,10,5.215572e+06
13,30,20,6.696016e+05
13,30,30,1.619588e+05
13,30,40,5.184731e+04
13,30,50,3.680377e+04
13,30,60,1.334642e+04
13,30,70,1.306635e+04
13,30,80,1.304105e+04
13,30,90,1.304105e+04
13,30,100,1.198773e+04
13,30,1,1.387112e+09
13,30,2,1.374310e+09
13,30,3,2.865511e+08
13,30,5,1.705930e+08
13,30,10,4.517601e+07
13,30,20,6.043656e+06
13,30,30,1.446013e+06
13,30,40,4.733628e+05
13,30,50,2.242174e+05
13,30,60,3.564262e+04
13,30,70,2.266092e+04
13,30,80,2.073642e+04
13,30,90,2.056508e+04
13,30,100,2.056508e+04
13,30,1,2.480111e+09
13,30,2,2.441983e+09
13,30,3,6.740655e+08
13,30,5,5.024536e+08
13,30,10,9.706025e+07
13,30,20,1.051027e+07
13,30,30,6.976207e+05
13,30,40,6.063163e+04
13,30,50,2.803822e+04
13,30,60,2.759430e+04
13,30,70,2.403404e+04
13,30,80,1.752330e+04
13,30,90,1.752330e+04
13,30,100,1.580179e+04
13,30,1,2.975144e+08
13,30,2,2.842706e+08
13,30,3,5.331711e+07
13,30,5,4.643701e+07
13,30,10,3.970826e+06
13,30,20,4.437180e+05
13,30,30,1.748064e+05
13,30,40,3.921677e+04
13,30,50,2.618497e+04
13,30,60,2.609670e+04
13,30,70,2.557903e+04
13,30,80,2.464855e+04
13,30,90,2.379305e+04
13,30,100,2.277206e+04
13,30,1,1.148638e+09
13,30,2,1.130110e+09
13,30,3,6.669145e+08
13,30,5,4.259675e+08
13,30,10,1.093833e+08
13,30,20,3.806334e+06
13,30,30,3.806334e+06
13,30,40,1.612437e+06
13,30,50,2.145546e+05
13,30,60,6.548461e+04
13,30,70,2.988793e+04
13,30,80,2.325666e+04
13,30,90,1.684969e+04
13,30,100,1.558578e+04
13,30,1,4.058483e+08
13,30,2,3.867502e+08
13,30,3,1.669342e+08
13,30,5,6.874806e+07
13,30,10,7.493582e+06
13,30,20,3.054795e+06
13,30,30,6.800225e+05
13,30,40,6.971023e+04
13,30,50,3.702973e+04
13,30,60,3.036656e+04
13,30,70,3.016571e+04
13,30,80,3.015856e+04
13,30,90,3.015856e+04
13,30,100,3.015856e+04
13,30,1,4.079360e+08
13,30,2,4.035243e+08
13,30,3,1.633872e+08
13,30,5,9.833761e+07
13,30,10,2.971394e+07
13,30,20,6.933221e+05
13,30,30,9.269703e+04
13,30,40,8.522120e+04
13,30,50,3.363356e+04
13,30,60,2.462906e+04
13,30,70,2.019274e+04
13,30,80,1.585617e+04
13,30,90,1.585617e+04
13,30,100,1.583491e+04
