funcid,dim,milestone,error
21,30,1,4.728239e+02
21,30,2,4.728239e+02
21,30,3,4.695689e+02
21,30,5,4.098050e+02
21,30,10,3.740403e+02
21,30,20,3.622647e+02
21,30,30,3.545467e+02
21,30,40,3.387039e+02
21,30,50,3.290951e+02
21,30,60,3.269176e+02
21,30,70,3.245664e+02
21,30,80,3.239349e+02
21,30,90,3.227748e+02
21,30,100,3.215168e+02
21,30,1,5.196417e+02
21,30,2,5.196417e+02
21,30,3,5.196417e+02
21,30,5,4.982921e+02
21,30,10,3.852166e+02
21,30,20,3.613214e+02
21,30,30,3.411977e+02
21,30,40,3.364472e+02
21,30,50,3.317831e+02
21,30,60,3.298566e+02
21,30,70,3.288760e+02
21,30,80,3.275176e+02
21,30,90,3.265256e+02
21,30,100,3.261899e+02
21,30,1,4.450524e+02
21,30,2,4.418809e+02
21,30,3,4.266195e+02
21,30,5,4.204423e+02
21,30,10,3.948545e+02
21,30,20,3.531529e+02
21,30,30,3.480367e+02
21,30,40,3.456644e+02
21,30,50,3.442614e+02
21,30,60,3.433805e+02
21,30,70,3.406746e+02
21,30,80,3.393410e+02
21,30,90,3.381840e+02
21,30,100,3.373117e+02
21,30,1,4.607614e+02
21,30,2,4.577307e+02
21,30,3,3.898412e+02
21,30,5,3.726463e+02
21,30,10,3.413285e+02
21,30,20,3.231352e+02
21,30,30,3.183654e+02
21,30,40,3.122434e+02
21,30,50,3.094602e+02
21,30,60,3.088559e+02
21,30,70,3.073630e+02
21,30,80,3.057080e+02
21,30,90,3.036766e+02
21,30,100,3.029718e+02
21,30,1,4.432692e+02
21,30,2,4.399396e+02
21,30,3,3.700637e+02
21,30,5,3.629672e+02
21,30,10,3.349222e+02
21,30,20,3.262200e+02
21,30,30,3.128378e+02
21,30,40,2.999523e+02
21,30,50,2.946397e+02
21,30,60,2.917129e+02
21,30,70,2.903631e+02
21,30,80,2.891657e+02
21,30,90,2.874397e+02
21,30,100,2.873281e+02
21,30,1,4.422361e+02
21,30,2,4.272506e+02
21,30,3,3.991318e+02
21,30,5,3.877810e+02
21,30,10,3.711160e+02
21,30,20,3.415752e+02
21,30,30,3.388153e+02
21,30,40,3.356773e+02
21,30,50,3.330473e+02
21,30,60,3.305047e+02
21,30,70,3.271505e+02
21,30,80,3.238957e+02
21,30,90,3.226827e+02
21,30,100,3.214737e+02
21,30,1,4.465331e+02
21,30,2,4.434140e+02
21,30,3,3.793545e+02
21,30,5,3.600557e+02
21,30,10,3.440351e+02
21,30,20,3.358429e+02
21,30,30,3.278390e+02
21,30,40,3.273651e+02
21,30,50,3.179157e+02
21,30,60,3.136516e+02
21,30,70,3.123110e+02
21,30,80,3.121792e+02
21,30,90,3.116893e+02
21,30,100,3.095755e+02
21,30,1,5.009008e+02
21,30,2,4.978943e+02
21,30,3,4.740262e+02
21,30,5,4.197764e+02
21,30,10,3.853774e+02
21,30,20,3.572334e+02
21,30,30,3.552027e+02
21,30,40,3.497710e+02
21,30,50,3.469692e+02
21,30,60,3.455999e+02
21,30,70,3.447734e+02
21,30,80,3.435580e+02
21,30,90,3.428531e+02
21,30,100,3.413910e+02
21,30,1,5.289412e+02
21,30,2,5.281100e+02
21,30,3,4.997961e+02
21,30,5,4.591399e+02
21,30,10,4.274637e+02
21,30,20,3.759416e+02
21,30,30,3.626633e+02
21,30,40,3.543895e+02
21,30,50,3.467478e+02
21,30,60,3.444146e+02
21,30,70,3.441395e+02
21,30,80,3.440779e+02
21,30,90,3.440555e+02
21,30,100,3.439389e+02
21,30,1,4.779525e+02
21,30,2,4.779525e+02
21,30,3,4.779525e+02
21,30,5,4.721877e+02
21,30,10,3.714190e+02
21,30,20,3.353085e+02
21,30,30,3.306625e+02
21,30,40,3.292616e+02
21,30,50,3.283289e+02
21,30,60,3.280393e+02
21,30,70,3.276926e+02
21,30,80,3.269541e+02
21,30,90,3.267918e+02
21,30,100,3.267272e+02
