funcid,dim,milestone,error
17,30,1,5.844403e+02
17,30,2,5.703362e+02
17,30,3,5.290174e+02
17,30,5,4.958893e+02
17,30,10,4.932812e+02
17,30,20,4.915944e+02
17,30,30,4.915944e+02
17,30,40,4.915944e+02
17,30,50,4.915944e+02
17,30,60,4.915944e+02
17,30,70,4.915944e+02
17,30,80,4.915944e+02
17,30,90,4.915944e+02
17,30,100,4.915944e+02
17,30,1,9.573645e+02
17,30,2,9.504475e+02
17,30,3,9.504475e+02
17,30,5,9.504475e+02
17,30,10,9.128149e+02
17,30,20,8.838552e+02
17,30,30,7.606730e+02
17,30,40,4.731747e+02
17,30,50,4.502884e+02
17,30,60,4.460110e+02
17,30,70,4.432258e+02
17,30,80,4.424846e+02
17,30,90,4.403758e+02
17,30,100,4.351158e+02
17,30,1,1.024400e+03
17,30,2,1.014340e+03
17,30,3,7.594954e+02
17,30,5,7.460767e+02
17,30,10,7.051129e+02
17,30,20,6.976157e+02
17,30,30,6.903117e+02
17,30,40,6.873237e+02
17,30,50,6.859369e+02
17,30,60,6.800676e+02
17,30,70,6.774518e+02
17,30,80,6.716101e+02
17,30,90,4.996537e+02
17,30,100,4.574125e+02
17,30,1,1.363579e+03
17,30,2,1.363579e+03
17,30,3,1.363579e+03
17,30,5,1.352920e+03
17,30,10,9.696417e+02
17,30,20,9.597021e+02
17,30,30,9.536504e+02
17,30,40,9.472969e+02
17,30,50,9.400819e+02
17,30,60,5.019014e+02
17,30,70,4.230621e+02
17,30,80,4.109241e+02
17,30,90,4.037912e+02
17,30,100,3.955485e+02
17,30,1,8.790444e+02
17,30,2,8.617364e+02
17,30,3,7.832402e+02
17,30,5,7.201232e+02
17,30,10,6.902824e+02
17,30,20,6.780671e+02
17,30,30,4.905890e+02
17,30,40,4.741900e+02
17,30,50,4.482678e+02
17,30,60,4.358826e+02
17,30,70,4.222750e+02
17,30,80,4.088846e+02
17,30,90,4.057520e+02
17,30,100,4.028998e+02
17,30,1,9.955396e+02
17,30,2,9.849795e+02
17,30,3,8.120292e+02
17,30,5,7.554473e+02
17,30,10,7.169974e+02
17,30,20,7.077800e+02
17,30,30,7.012056e+02
17,30,40,7.000093e+02
17,30,50,6.974717e+02
17,30,60,5.936174e+02
17,30,70,5.917645e+02
17,30,80,5.885134e+02
17,30,90,5.880674e+02
17,30,100,5.870268e+02
17,30,1,7.287147e+02
17,30,2,7.148575e+02
17,30,3,7.106366e+02
17,30,5,7.085349e+02
17,30,10,6.954353e+02
17,30,20,6.871403e+02
17,30,30,6.766069e+02
17,30,40,6.733696e+02
17,30,50,6.695170e+02
17,30,60,6.687858e+02
17,30,70,6.682045e+02
17,30,80,6.661833e+02
17,30,90,6.653390e+02
17,30,100,6.646941e+02
17,30,1,1.021247e+03
17,30,2,9.900818e+02
17,30,3,7.543421e+02
17,30,5,7.233807e+02
17,30,10,7.188055e+02
17,30,20,6.978680e+02
17,30,30,6.964280e+02
17,30,40,6.954427e+02
17,30,50,6.928754e+02
17,30,60,3.481795e+02
17,30,70,2.785816e+02
17,30,80,2.664130e+02
17,30,90,2.640344e+02
17,30,100,2.639113e+02
17,30,1,8.257561e+02
17,30,2,7.911513e+02
17,30,3,5.375459e+02
17,30,5,3.919869e+02
17,30,10,3.445236e+02
17,30,20,3.340218e+02
17,30,30,3.305665e+02
17,30,40,3.244655e+02
17,30,50,3.228850e+02
17,30,60,3.220456e+02
17,30,70,3.203593e+02
17,30,80,3.187679e+02
17,30,90,3.181621e+02
17,30,100,3.179716e+02
17,30,1,8.439161e+02
17,30,2,8.302013e+02
17,30,3,6.471803e+02
17,30,5,6.207739e+02
17,30,10,5.776320e+02
17,30,20,5.554018e+02
17,30,30,5.453699e+02
17,30,40,5.424449e+02
17,30,50,5.401237e+02
17,30,60,5.392382e+02
17,30,70,5.387323e+02
17,30,80,5.374636e+02
17,30,90,5.371900e+02
17,30,100,5.371056e+02
