funcid,dim,milestone,error
8,30,1,2.450035e+02
8,30,2,2.424855e+02
8,30,3,2.282984e+02
8,30,5,2.033982e+02
8,30,10,1.645111e+02
8,30,20,1.290478e+02
8,30,30,1.065679e+02
8,30,40,9.253150e+01
8,30,50,8.650726e+01
8,30,60,8.650726e+01
8,30,70,8.650726e+01
8,30,80,8.650726e+01
8,30,90,8.517606e+01
8,30,100,8.258041e+01
8,30,1,1.888301e+02
8,30,2,1.835779e+02
8,30,3,1.829194e+02
8,30,5,1.774638e+02
8,30,10,1.367516e+02
8,30,20,1.100502e+02
8,30,30,9.281693e+01
8,30,40,8.621496e+01
8,30,50,7.800307e+01
8,30,60,7.597124e+01
8,30,70,7.513797e+01
8,30,80,7.417120e+01
8,30,90,7.110956e+01
8,30,100,7.004580e+01
8,30,1,2.360972e+02
8,30,2,2.302438e+02
8,30,3,1.862441e+02
8,30,5,1.597776e+02
8,30,10,1.321539e+02
8,30,20,1.194394e+02
8,30,30,1.113833e+02
8,30,40,1.049703e+02
8,30,50,1.020308e+02
8,30,60,9.969675e+01
8,30,70,9.666469e+01
8,30,80,9.638044e+01
8,30,90,9.577969e+01
8,30,100,9.536296e+01
8,30,1,2.489116e+02
8,30,2,2.489116e+02
8,30,3,2.141833e+02
8,30,5,1.871031e+02
8,30,10,1.484639e+02
8,30,20,9.639590e+01
8,30,30,8.028619e+01
8,30,40,7.930423e+01
8,30,50,7.770461e+01
8,30,60,7.546419e+01
8,30,70,7.482858e+01
8,30,80,7.466749e+01
8,30,90,7.448835e+01
8,30,100,7.424903e+01
8,30,1,2.529385e+02
8,30,2,2.482775e+02
8,30,3,2.144178e+02
8,30,5,1.700914e+02
8,30,10,1.243238e+02
8,30,20,9.343729e+01
8,30,30,8.965419e+01
8,30,40,8.893304e+01
8,30,50,8.876150e+01
8,30,60,8.757388e+01
8,30,70,8.720887e+01
8,30,80,8.696448e+01
8,30,90,8.687607e+01
8,30,100,8.680275e+01
8,30,1,2.045085e+02
8,30,2,2.011200e+02
8,30,3,1.664933e+02
8,30,5,1.367930e+02
8,30,10,1.309992e+02
8,30,20,1.124000e+02
8,30,30,1.085725e+02
8,30,40,9.957284e+01
8,30,50,9.551199e+01
8,30,60,9.155707e+01
8,30,70,8.932621e+01
8,30,80,8.847958e+01
8,30,90,8.678818e+01
8,30,100,8.656941e+01
8,30,1,2.082467e+02
8,30,2,2.047922e+02
8,30,3,1.555724e+02
8,30,5,1.458138e+02
8,30,10,1.321130e+02
8,30,20,1.094881e+02
8,30,30,9.618337e+01
8,30,40,8.545389e+01
8,30,50,7.793802e+01
8,30,60,7.694034e+01
8,30,70,7.358465e+01
8,30,80,7.212131e+01
8,30,90,7.126067e+01
8,30,100,7.065375e+01
8,30,1,2.678384e+02
8,30,2,2.635207e+02
8,30,3,2.047414e+02
8,30,5,1.739050e+02
8,30,10,1.547383e+02
8,30,20,1.177481e+02
8,30,30,1.011902e+02
8,30,40,9.492147e+01
8,30,50,9.308231e+01
8,30,60,8.844555e+01
8,30,70,8.693307e+01
8,30,80,8.618522e+01
8,30,90,8.545476e+01
8,30,100,8.543201e+01
8,30,1,2.336708e+02
8,30,2,2.330375e+02
8,30,3,2.329968e+02
8,30,5,1.938176e+02
8,30,10,1.539910e+02
8,30,20,1.212905e+02
8,30,30,1.072428e+02
8,30,40,8.711968e+01
8,30,50,8.340663e+01
8,30,60,8.196091e+01
8,30,70,7.935014e+01
8,30,80,7.871004e+01
8,30,90,7.787599e+01
8,30,100,7.765173e+01
8,30,1,2.381481e+02
8,30,2,2.309409e+02
8,30,3,2.179392e+02
8,30,5,1.890950e+02
8,30,10,1.532926e+02
8,30,20,1.342402e+02
8,30,30,1.047269e+02
8,30,40,8.845508e+01
8,30,50,7.711208e+01
8,30,60,7.285701e+01
8,30,70,7.087659e+01
8,30,80,7.013276e+01
8,30,90,6.990473e+01
8,30,100,6.968747e+01
