funcid,dim,milestone,error
1,30,1,2.871779e+10
1,30,2,2.860652e+10
1,30,3,1.619641e+10
1,30,5,1.151792e+10
1,30,10,8.456988e+09
1,30,20,4.649962e+09
1,30,30,2.709995e+09
1,30,40,1.558999e+09
1,30,50,1.044598e+09
1,30,60,9.281717e+08
1,30,70,8.164038e+08
1,30,80,7.023855e+08
1,30,90,6.222167e+08
1,30,100,4.879502e+08
1,30,1,1.516736e+10
1,30,2,1.509251e+10
1,30,3,1.034970e+10
1,30,5,8.016961e+09
1,30,10,4.571896e+09
1,30,20,2.892216e+09
1,30,30,1.935071e+09
1,30,40,1.527012e+09
1,30,50,1.169733e+09
1,30,60,8.802629e+08
1,30,70,7.463786e+08
1,30,80,6.934904e+08
1,30,90,4.943340e+08
1,30,100,4.739960e+08
1,30,1,1.109978e+10
1,30,2,1.104631e+10
1,30,3,9.233246e+09
1,30,5,7.959373e+09
1,30,10,5.612245e+09
1,30,20,2.882959e+09
1,30,30,2.132523e+09
1,30,40,1.681217e+09
1,30,50,1.465165e+09
1,30,60,1.262459e+09
1,30,70,1.120741e+09
1,30,80,1.027647e+09
1,30,90,7.882432e+08
1,30,100,7.048291e+08
1,30,1,2.001846e+10
1,30,2,1.992820e+10
1,30,3,1.389637e+10
1,30,5,1.132506e+10
1,30,10,6.977916e+09
1,30,20,4.105838e+09
1,30,30,3.229980e+09
1,30,40,2.665031e+09
1,30,50,1.813147e+09
1,30,60,1.534574e+09
1,30,70,1.042744e+09
1,30,80,8.377546e+08
1,30,90,6.883741e+08
1,30,100,5.502494e+08
1,30,1,1.451809e+10
1,30,2,1.444890e+10
1,30,3,1.086480e+10
1,30,5,8.089485e+09
1,30,10,6.296951e+09
1,30,20,4.119537e+09
1,30,30,3.014441e+09
1,30,40,2.269565e+09
1,30,50,1.764022e+09
1,30,60,1.482934e+09
1,30,70,1.337396e+09
1,30,80,1.014156e+09
1,30,90,7.206722e+08
1,30,100,6.683123e+08
1,30,1,1.970855e+10
1,30,2,1.957003e+10
1,30,3,1.505964e+10
1,30,5,1.120512e+10
1,30,10,8.396517e+09
1,30,20,5.255898e+09
1,30,30,2.970275e+09
1,30,40,1.834562e+09
1,30,50,1.474621e+09
1,30,60,1.176647e+09
1,30,70,9.247730e+08
1,30,80,7.605262e+08
1,30,90,5.747261e+08
1,30,100,3.839006e+08
1,30,1,1.571654e+10
1,30,2,1.551788e+10
1,30,3,1.158793e+10
1,30,5,9.726072e+09
1,30,10,6.614883e+09
1,30,20,3.651295e+09
1,30,30,2.807973e+09
1,30,40,2.174144e+09
1,30,50,1.663732e+09
1,30,60,1.380635e+09
1,30,70,1.204270e+09
1,30,80,1.052548e+09
1,30,90,8.330847e+08
1,30,100,7.948081e+08
1,30,1,1.965316e+10
1,30,2,1.960108e+10
1,30,3,1.171839e+10
1,30,5,9.638177e+09
1,30,10,6.468720e+09
1,30,20,3.581174e+09
1,30,30,2.755405e+09
1,30,40,1.886199e+09
1,30,50,1.644137e+09
1,30,60,1.212199e+09
1,30,70,1.089736e+09
1,30,80,9.583404e+08
1,30,90,8.916650e+08
1,30,100,8.396960e+08
1,30,1,1.469984e+10
1,30,2,1.465130e+10
1,30,3,1.296209e+10
1,30,5,1.078361e+10
1,30,10,7.687062e+09
1,30,20,4.299925e+09
1,30,30,3.416415e+09
1,30,40,2.502862e+09
1,30,50,2.207273e+09
1,30,60,1.833475e+09
1,30,70,1.696664e+09
1,30,80,1.386086e+09
1,30,90,1.112266e+09
1,30,100,1.029463e+09
1,30,1,1.951992e+10
1,30,2,1.947864e+10
1,30,3,1.445949e+10
1,30,5,1.036883e+10
1,30,10,8.053523e+09
1,30,20,5.698580e+09
1,30,30,3.792666e+09
1,30,40,2.743804e+09
1,30,50,2.198650e+09
1,30,60,1.741048e+09
1,30,70,1.300875e+09
1,30,80,1.190859e+09
1,30,90,8.946483e+08
1,30,100,7.724771e+08
